character_skill_nodes_tables
5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_dlc04_skill_node_set_vmp_helman_ghorst		1	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	0		0	0	True
	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_dlc04_skill_node_set_vmp_helman_ghorst		1	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_2	1		0	0	True
	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_dlc04_skill_node_set_vmp_helman_ghorst		1	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_3	2		0	0	True
	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_dlc04_skill_node_set_vmp_helman_ghorst		1	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_4	3		0	0	True
	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh_dlc04_skill_node_set_vmp_helman_ghorst		1	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	4		0	3	True
	wh2_main_skill_def_black_ark_cannot_steal	wh2_main_skill_node_set_def_black_ark		0	wh2_main_skill_def_black_ark_cannot_steal	0		1	0	False
	wh2_main_skill_def_malekith_quest_1	wh2_main_skill_node_set_def_malekith		0	wh2_main_skill_def_malekith_arcane_item_circlet_of_iron	0		0	0	True
	wh2_main_skill_def_malekith_quest_3	wh2_main_skill_node_set_def_malekith		0	wh2_main_skill_def_malekith_armour_supreme_spellshield	2		0	0	True
	wh2_main_skill_def_malekith_quest_2	wh2_main_skill_node_set_def_malekith		0	wh2_main_skill_def_malekith_weapon_destroyer	1		0	0	True
	wh2_main_skill_def_morathi_quest_1	wh2_main_skill_node_set_def_morathi		0	wh2_main_skill_def_morathi_weapon_heartrender	0		0	0	True
	wh2_main_skill_hef_teclis_quest_1	wh2_main_skill_node_set_hef_teclis		0	wh2_main_skill_hef_teclis_arcane_item_scroll_of_hoeth	0		0	0	True
	wh2_main_skill_hef_teclis_quest_2	wh2_main_skill_node_set_hef_teclis		0	wh2_main_skill_hef_teclis_weapon_sword_of_teclis	1		0	0	True
	wh2_main_skill_hef_tyrion_quest_1	wh2_main_skill_node_set_hef_tyrion		0	wh2_main_skill_hef_tyrion_enchanted_item_heart_of_avelorn	0		0	0	True
	wh2_main_skill_hef_tyrion_quest_2	wh2_main_skill_node_set_hef_tyrion		0	wh2_main_skill_hef_tyrion_weapon_sunfang	1		0	0	True
	wh2_main_skill_innate_hef_teclis_agent_1	wh2_main_skill_node_set_hef_teclis		1	wh2_main_skill_innate_hef_teclis_agent_1	5		0	0	True
	wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	wh2_main_skill_node_set_skv_queek_headtaker		6	wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	0		1	0	False
	wh2_main_skill_lzd_kroq_quest_2	wh2_main_skill_node_set_lzd_kroq_gar		0	wh2_main_skill_lzd_kroq_item_hand_of_gods	1		0	0	True
	wh2_main_skill_lzd_kroq_quest_1	wh2_main_skill_node_set_lzd_kroq_gar		0	wh2_main_skill_lzd_kroq_item_spear_of_tlanxla	0		0	0	True
	wh2_main_skill_lzd_mazdamundi_quest_1	wh2_main_skill_node_set_lzd_lord_mazdamundi		0	wh2_main_skill_lzd_mazdamundi_magic_standard_sunburst_standard_of_hexoatl	0		0	0	True
	wh2_main_skill_lzd_mazdamundi_quest_2	wh2_main_skill_node_set_lzd_lord_mazdamundi		0	wh2_main_skill_lzd_mazdamundi_weapon_cobra_mace_of_mazdamundi	1		0	0	True
	wh2_main_skill_all_hero_assist_army_training	wh2_main_skill_node_set_chs_exalted_hero		5	wh2_main_skill_node_chs_exalted_hero_campaign_01	0		0	0	True
