cursors_tables
6
key	image	frames	framerate	unknown4	unknown5	loop	unknown7	unknown8	unknown9	unknown10
action	ui/cursors/action0000.png	1	25	10	12	False	48	48		
agent_action	ui/cursors/attack.png	1	25	32	32	False	64	64		
agent_action_down	ui/cursors/attack_down.png	1	25	32	32	False	64	64		
agent_action_multimove	ui/cursors/move.png	1	25	10	12	False	48	48		
agent_action_multimove_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
attack	ui/cursors/attack.png	1	25	32	32	False	64	64		
attack_building	ui/cursors/target_building.png	1	25	24	24	False	48	48		
attack_building_down	ui/cursors/target_building_down.png	1	25	24	24	False	48	48		
attack_building_oor	ui/cursors/target_building_oor.png	1	25	24	24	False	48	48		
attack_building_oor_down	ui/cursors/target_building_oor_down.png	1	25	24	24	False	48	48		
attack_deployable	ui/cursors/melee_multimove.png	1	25	10	7	False	48	48		
attack_deployable_down	ui/cursors/melee_multimove_down.png	1	25	10	7	False	48	48		
attack_deployable_ranged	ui/cursors/attack.png	1	25	32	32	False	64	64		
attack_deployable_ranged_down	ui/cursors/attack_down.png	1	25	32	32	False	64	64		
attack_down	ui/cursors/attack_down.png	1	25	32	32	False	64	64		
attack_oor	ui/cursors/attack_oor.png	1	25	32	32	False	64	64		
attack_oor_click	ui/cursors/attack_oor_down.png	1	25	32	32	False	64	64		
attack_port	ui/cursors/attack_port0000	1	25	32	32	False	64	64		
attack_port_down	ui/cursors/attack_port	11	25	32	32	False	64	64		
attack_tower_oor	ui/cursors/attack_tower_oor.png	1	25	32	32	False	64	64		
attack_unbreachable_wall	ui/cursors/target_building.png	1	25	24	24	False	48	48		
attack_unbreachable_wall_down	ui/cursors/target_building_down.png	1	25	24	24	False	48	48		
backwater	ui/cursors/backwater0000	1	25	0	0	False	48	48		
backwater_down	ui/cursors/backwater	9	25	0	0	False	48	48		
board_ship	ui/cursors/melee_multimove.png	1	25	10	7	False	48	48		
board_ship_down	ui/cursors/melee_multimove_down.png	1	25	10	7	False	48	48		
bombard	ui/cursors/bombard	1	25	0	0	False	48	48		
bombard_battle	ui/cursors/bombard	1	25	0	0	False	48	48		
bombard_or_agent	ui/cursors/bombard	1	25	0	0	False	48	48		
bombard_or_attack	ui/cursors/bombard	1	25	0	0	False	48	48		
burn_building	ui/cursors/burn_building0000	1	25	31	31	False	64	64		
burn_building_down	ui/cursors/burn_building	10	25	31	31	False	64	64		
busy	ui/cursors/load.png	1	25	0	0	False	48	48		
can_capture	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_capture_point	
can_capture_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_capture_point	
cannot_capture	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_cannot_capture	
cannot_capture_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_cannot_capture	
caret	ui/cursors/caret	1	25	0	0	False	48	48		
click_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48		
climb_wall	ui/cursors/climb_wall.png	1	25	24	13	False	48	48		
climb_wall_down	ui/cursors/climb_wall_down.png	1	25	24	13	False	48	48		
defend_building	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
defend_building_click	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
