diplomatic_action_faction_restrictions_tables
0
unknown	unknown2	can_make_vassals	faction
False	False	False	wh_dlc03_bst_beastmen_brayherd
False	False	False	wh_dlc03_bst_beastmen_rebels
False	False	False	wh_dlc03_bst_mini_beastmen_rebels
False	False	False	wh_dlc03_bst_mini_beastmen_rebels_brayherd
False	False	False	wh_dlc03_bst_mini_jagged_horn_brayherd
False	False	False	wh_dlc03_bst_mini_khazrak_herd_brayherd
False	False	False	wh_dlc03_bst_mini_redhorn_brayherd
False	False	False	wh_dlc03_bst_mini_ripper_horn_brayherd
False	False	False	wh_dlc03_bst_mini_shadowgor_brayherd
False	False	False	wh_dlc03_bst_mini_skrinderkin_brayherd
False	False	False	wh_main_chs_chaos_separatists
False	False	False	wh_main_emp_empire_separatists
