diplomatic_relations_religion_tables
1
religion_a	religion_b	religious_unhappniess_modifier
wh2_main_religion_skaven	wh2_main_religion_skaven	0
wh2_main_religion_skaven	wh_main_religion_chaos	0.2
wh2_main_religion_skaven	wh_main_religion_undeath	0.2
wh2_main_religion_skaven	wh_main_religion_untainted	0.2
wh_main_religion_chaos	wh2_main_religion_skaven	0.2
wh_main_religion_chaos	wh_main_religion_chaos	0
wh_main_religion_chaos	wh_main_religion_undeath	0.2
wh_main_religion_chaos	wh_main_religion_untainted	0.2
wh_main_religion_undeath	wh2_main_religion_skaven	0.2
wh_main_religion_undeath	wh_main_religion_chaos	0.2
wh_main_religion_undeath	wh_main_religion_undeath	0
wh_main_religion_undeath	wh_main_religion_untainted	0.2
wh_main_religion_untainted	wh2_main_religion_skaven	0.15
wh_main_religion_untainted	wh_main_religion_chaos	0.15
wh_main_religion_untainted	wh_main_religion_undeath	0.15
wh_main_religion_untainted	wh_main_religion_untainted	0
