effect_bonus_value_agent_action_record_junctions_tables
0
unknown0	unknown1	unknown2
active	wh2_main_effect_agent_action_enable_champion_assist_army_replenish_troops	wh2_main_agent_action_champion_assist_army_replenish_troops
active	wh2_main_effect_agent_action_enable_champion_assist_army_training	wh2_main_agent_action_champion_assist_army_training
active	wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate	wh2_main_agent_action_champion_hinder_agent_assassinate
active	wh2_main_effect_agent_action_enable_champion_hinder_agent_wound	wh2_main_agent_action_champion_hinder_agent_wound
active	wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units	wh2_main_agent_action_champion_hinder_army_assault_units
active	wh2_main_effect_agent_action_enable_champion_hinder_army_block_army	wh2_main_agent_action_champion_hinder_army_block_army
active	wh2_main_effect_agent_action_enable_champion_hinder_settlement_assault_garrison	wh2_main_agent_action_champion_hinder_settlement_assault_garrison
active	wh2_main_effect_agent_action_enable_champion_hinder_settlement_damage_walls	wh2_main_agent_action_champion_hinder_settlement_damage_walls
active	wh2_main_effect_agent_action_enable_champion_hinder_settlement_gain_influence	wh2_main_agent_action_champion_hinder_settlement_gain_influence
active	wh2_main_effect_agent_action_enable_champion_hinder_settlement_scout_settlement	wh2_main_agent_action_champion_hinder_settlement_scout_settlement
active	wh2_main_effect_agent_action_enable_champion_passive_increase_trade	wh2_main_agent_action_champion_passive_increase_trade
active	wh2_main_effect_agent_action_enable_champion_passive_spread_public_order_horde	wh2_main_agent_action_champion_passive_spread_public_order_horde
active	wh2_main_effect_agent_action_enable_champion_passive_spread_public_order	wh2_main_agent_action_champion_passive_spread_public_order
active	wh2_main_effect_agent_action_enable_champion_passive_stimulate_growth	wh2_main_agent_action_champion_passive_stimulate_growth
active	wh2_main_effect_agent_action_enable_dignitary_assist_army_replenish_troops	wh2_main_agent_action_dignitary_assist_army_replenish_troops
active	wh2_main_effect_agent_action_enable_dignitary_hinder_agent_wound	wh2_main_agent_action_dignitary_hinder_agent_wound
active	wh2_main_effect_agent_action_enable_dignitary_hinder_army_hinder_replenishment	wh2_main_agent_action_dignitary_hinder_army_hinder_replenishment
active	wh2_main_effect_agent_action_enable_dignitary_hinder_settlement_damage_building	wh2_main_agent_action_dignitary_hinder_settlement_damage_building
active	wh2_main_effect_agent_action_enable_dignitary_hinder_settlement_damage_walls	wh2_main_agent_action_dignitary_hinder_settlement_damage_walls
active	wh2_main_effect_agent_action_enable_dignitary_hinder_settlement_scout_settlement	wh2_main_agent_action_dignitary_hinder_settlement_scout_settlement
active	wh2_main_effect_agent_action_enable_dignitary_passive_corruption_chs	wh2_main_agent_action_dignitary_passive_spread_corruption_chs
active	wh2_main_effect_agent_action_enable_dignitary_passive_corruption_vmp	wh2_main_agent_action_dignitary_passive_spread_corruption_vmp
active	wh2_main_effect_agent_action_enable_dignitary_passive_corruption	wh2_main_agent_action_dignitary_passive_spread_corruption
active	wh2_main_effect_agent_action_enable_dignitary_passive_stimulate_growth	wh2_main_agent_action_dignitary_passive_stimulate_growth
active	wh2_main_effect_agent_action_enable_engineer_assist_army_enhance_mobility	wh2_main_agent_action_engineer_assist_army_increase_mobility
active	wh2_main_effect_agent_action_enable_engineer_hinder_agent_wound	wh2_main_agent_action_engineer_hinder_agent_wound
active	wh2_main_effect_agent_action_enable_engineer_hinder_army_block_army	wh2_main_agent_action_engineer_hinder_army_block_army
active	wh2_main_effect_agent_action_enable_engineer_hinder_settlement_damage_walls	wh2_main_agent_action_engineer_hinder_settlement_steal_technology
active	wh2_main_effect_agent_action_enable_engineer_hinder_settlement_scout_settlement	wh2_main_agent_action_engineer_hinder_settlement_scout_settlement
active	wh2_main_effect_agent_action_enable_engineer_hinder_settlement_warlock_engineer_ritual	wh2_main_agent_action_engineer_hinder_settlement_warlock_engineer_ritual
active	wh2_main_effect_agent_action_enable_engineer_passive_boost_income	wh2_main_agent_action_engineer_passive_boost_income
active	wh2_main_effect_agent_action_enable_runesmith_assist_army_scouting	wh2_main_agent_action_runesmith_assist_army_scouting
