effect_bonus_value_agent_subtype_junctions_tables
0
unknown0	unknown1	unknown2
cap	wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_lzd_slann_mage_priest
availability	wh2_main_effect_agent_enable_recruitment_dignitary_def	wh2_main_def_death_hag
availability	wh2_main_effect_agent_enable_recruitment_engineer_skv	wh2_main_skv_warlock_engineer
availability	wh2_main_effect_agent_enable_recruitment_hef_noble	wh2_main_hef_noble
availability	wh2_main_effect_agent_enable_recruitment_lzd_scar_veteran	wh2_main_lzd_saurus_scar_veteran
availability	wh2_main_effect_agent_enable_recruitment_runesmith_hef	wh2_main_hef_loremaster_of_hoeth
availability	wh2_main_effect_agent_enable_recruitment_spy_def	wh2_main_def_khainite_assassin
availability	wh2_main_effect_agent_enable_recruitment_spy_lzd	wh2_main_lzd_skink_chief
availability	wh2_main_effect_agent_enable_recruitment_spy_skv	wh2_main_skv_assassin
availability	wh2_main_effect_agent_enable_recruitment_wizard_def	wh2_main_def_sorceress_dark
availability	wh2_main_effect_agent_enable_recruitment_wizard_def	wh2_main_def_sorceress_fire
availability	wh2_main_effect_agent_enable_recruitment_wizard_def	wh2_main_def_sorceress_shadow
availability	wh2_main_effect_agent_enable_recruitment_wizard_hef	wh2_main_hef_mage_high
availability	wh2_main_effect_agent_enable_recruitment_wizard_hef	wh2_main_hef_mage_life
availability	wh2_main_effect_agent_enable_recruitment_wizard_hef	wh2_main_hef_mage_light
availability	wh2_main_effect_agent_enable_recruitment_wizard_lzd	wh2_main_lzd_skink_priest_beasts
availability	wh2_main_effect_agent_enable_recruitment_wizard_lzd	wh2_main_lzd_skink_priest_heavens
availability	wh2_main_effect_agent_enable_recruitment_wizard_skv	wh2_main_skv_plague_priest
loyalty_initial_mod	wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_skv_grey_seer_plague
loyalty_initial_mod	wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_skv_grey_seer_ruin
loyalty_initial_mod	wh2_main_effect_character_mod_loyalty_warlords	wh2_main_skv_warlord
availability	wh_dlc03_effect_agent_enable_recruitment_champion_beastmen_hidden	dlc03_bst_gorebull
availability	wh_dlc03_effect_agent_enable_recruitment_champion_beastmen	dlc03_bst_gorebull
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_beasts_hidden	dlc03_bst_bray_shaman_beasts
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_death_hidden	dlc03_bst_bray_shaman_death
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_shadows_hidden	dlc03_bst_bray_shaman_shadows
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_wild_hidden	dlc03_bst_bray_shaman_wild
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen	dlc03_bst_bray_shaman_beasts
availability	wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen	dlc03_bst_bray_shaman_death
