effect_bonus_value_attrition_record_junctions_tables
0
unknown0	unknown1	unknown2
vampire_territory	damage_mod	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties
deep_sea	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
maelstrom	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
reef	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_1	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_2	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_3	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_4	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_5	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
athel_loren	immunity	wh2_main_effect_force_army_campaign_attrition_immunity_athel_loren
storm_level_1	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_2	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_3	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_4	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_5	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
hostile_territory	active	wh2_main_effect_region_enable_hostile_territory_attrition
chaos_territory	damage_mod	wh_dlc03_effect_force_army_campaign_attrition_chaos_territory
low_morale	immunity	wh_dlc03_low_morale_attrition_immunity
very_low_morale	immunity	wh_dlc03_low_morale_attrition_immunity
athel_loren	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
besieged	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
besieging	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
blockaded	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
blockading	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
chaos_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
chaos_wastes	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
deep_sea	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
desert	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
hostile_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
low_morale	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
maelstrom	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
mountain	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
non_vampire_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
reef	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
regionless	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
sabotage	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
snow	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_1	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_2	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_3	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_4	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_5	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
swamp	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
vampire_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
very_low_morale	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
wasteland	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
mountain	immunity	wh_dlc05_effect_force_army_campaign_attrition_mountain_immunity
swamp	immunity	wh_dlc05_effect_force_army_campaign_attrition_swamp_immunity
athel_loren	immunity	wh_dlc05_technology_effect_attrition_immunity
besieged	immunity	wh_dlc05_technology_effect_attrition_immunity
besieging	immunity	wh_dlc05_technology_effect_attrition_immunity
blockaded	immunity	wh_dlc05_technology_effect_attrition_immunity
blockading	immunity	wh_dlc05_technology_effect_attrition_immunity
chaos_territory	immunity	wh_dlc05_technology_effect_attrition_immunity
chaos_wastes	immunity	wh_dlc05_technology_effect_attrition_immunity
deep_sea	immunity	wh_dlc05_technology_effect_attrition_immunity
desert	immunity	wh_dlc05_technology_effect_attrition_immunity
hostile_territory	immunity	wh_dlc05_technology_effect_attrition_immunity
low_morale	immunity	wh_dlc05_technology_effect_attrition_immunity
maelstrom	immunity	wh_dlc05_technology_effect_attrition_immunity
mountain	immunity	wh_dlc05_technology_effect_attrition_immunity
non_vampire_territory	immunity	wh_dlc05_technology_effect_attrition_immunity
reef	immunity	wh_dlc05_technology_effect_attrition_immunity
regionless	immunity	wh_dlc05_technology_effect_attrition_immunity
sabotage	immunity	wh_dlc05_technology_effect_attrition_immunity
snow	immunity	wh_dlc05_technology_effect_attrition_immunity
storm_level_1	immunity	wh_dlc05_technology_effect_attrition_immunity
storm_level_2	immunity	wh_dlc05_technology_effect_attrition_immunity
storm_level_3	immunity	wh_dlc05_technology_effect_attrition_immunity
storm_level_4	immunity	wh_dlc05_technology_effect_attrition_immunity
storm_level_5	immunity	wh_dlc05_technology_effect_attrition_immunity
swamp	immunity	wh_dlc05_technology_effect_attrition_immunity
vampire_territory	immunity	wh_dlc05_technology_effect_attrition_immunity
very_low_morale	immunity	wh_dlc05_technology_effect_attrition_immunity
wasteland	immunity	wh_dlc05_technology_effect_attrition_immunity
wasteland	immunity	wh_dlc07_effect_attrition_immunity_badlands
snow	immunity	wh_dlc07_effect_attrition_immunity_snow
vampire_territory	damage_mod	wh_dlc07_effect_campaign_attrition_vampiric_attrition_casualties
event_attrition	active	wh_main_effect_campaign_enable_attrition
athel_loren	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
besieged	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
besieging	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
blockaded	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
blockading	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
chaos_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
chaos_wastes	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
deep_sea	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
desert	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
desertion	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
hostile_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
maelstrom	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
mountain	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
non_vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
reef	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
regionless	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
sabotage	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
snow	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_1	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_2	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_3	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_4	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_5	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
swamp	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
very_low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
wasteland	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
athel_loren	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
besieged	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
besieging	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
blockaded	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
blockading	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
chaos_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
chaos_wastes	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
deep_sea	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
desert	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
desertion	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
hostile_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
maelstrom	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
mountain	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
non_vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
