effect_bonus_value_building_set_junctions_tables
0
bonus_value_id	building_set	effect
mod_cost	wh2_main_set_dwf_rangers_drinking	wh2_main_effect_building_construction_cost_mod_dwf_rangers_drinking
mod_cost	wh2_main_set_highelf_defence	wh2_main_effect_building_construction_cost_mod_hef_defence
mod_cost	wh2_main_set_hef_cultural	wh2_main_effect_building_construction_cost_mod_hef_embassy_court_entertainment
mod_cost	wh2_main_set_hef_industry	wh2_main_effect_building_construction_cost_mod_hef_industry_resource
mod_cost	wh2_main_set_resource	wh2_main_effect_building_construction_cost_mod_lzd_resource_buildings
mod_cost	wh2_main_set_lizardmen_star_chamber	wh2_main_effect_building_construction_cost_mod_lzd_starchamber
mod_cost	wh2_main_set_lizardmen_temples	wh2_main_effect_building_construction_cost_mod_lzd_temples
mod_cost	wh_main_set_port	wh2_main_effect_building_construction_cost_mod_ports
mod_cost	wh2_main_set_skaven_plague	wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain
mod_cost	wh2_main_set_hef_worship	wh2_main_effect_building_construction_cost_mod_worship_hef_global
mod_cost	wh2_main_set_hef_worship	wh2_main_effect_building_construction_cost_mod_worship_hef
add_build_time	wh2_main_set_dwf_rangers_drinking	wh2_main_effect_building_construction_time_mod_dwf_rangers_drinking
add_build_time	wh2_main_set_hef_cultural	wh2_main_effect_building_construction_time_mod_hef_embassy_court_entertainment
add_build_time	wh2_main_set_hef_industry	wh2_main_effect_building_construction_time_mod_hef_industry_resource
add_build_time	wh2_main_set_resource	wh2_main_effect_building_construction_time_mod_lzd_resource_buildings
add_build_time	wh2_main_set_lizardmen_star_chamber	wh2_main_effect_building_construction_time_mod_lzd_starchamber
add_build_time	wh2_main_set_lizardmen_temples	wh2_main_effect_building_construction_time_mod_lzd_temples
add_build_time	wh_main_set_port	wh2_main_effect_building_construction_time_mod_ports
num_buildings_to_spawn_for_new_horde_army	wh2_main_set_newhorde_def	wh2_main_effect_force_newhorde_buildings_black_ark
num_buildings_to_spawn_for_new_horde_army	wh2_main_set_newhorde_rogue	wh2_main_effect_force_newhorde_buildings_rogue
mod_resource_production	wh2_main_set_landmark	wh2_main_effect_region_tradable_resource_production
mod_resource_production	wh2_main_set_resource	wh2_main_effect_region_tradable_resource_production
num_buildings_to_spawn_for_new_horde_army	wh_dlc03_set_newhorde_beastmen	wh_dlc03_effect_force_newhorde_building_beastmen
mod_cost	wh_main_set_empire_military_support	wh_dlc04_effect_cost_reduction_sigmar_shrine
mod_cost	wh_main_set_empire_wizards	wh_main_effect_building_construction_cost_mod_empire_wizards
mod_cost	wh_main_set_empire_economy	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh_main_set_dwarf_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment_vmp
mod_cost	wh_main_set_empire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment_vmp
mod_cost	wh_main_set_greenskin_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment_vmp
mod_cost	wh_main_set_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment_vmp
mod_cost	wh_main_set_vampire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment_vmp
mod_cost	wh_main_set_dwarf_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_empire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_greenskin_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_vampire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_settlement_major	wh_main_effect_building_construction_cost_mod_settlement
mod_cost	wh_main_set_settlement_minor	wh_main_effect_building_construction_cost_mod_settlement
mod_cost	wh2_main_set_darkelf_sorcery	wh_main_effect_building_construction_cost_mod_sorcery_def
mod_cost	wh2_main_set_darkelf_temples	wh_main_effect_building_construction_cost_mod_worship_def
add_build_time	wh_main_set_settlement_major	wh_main_effect_building_construction_time_mod_settlement
add_build_time	wh_main_set_settlement_minor	wh_main_effect_building_construction_time_mod_settlement
num_buildings_to_spawn_for_new_horde_army	wh_main_set_newhorde_chaos	wh_main_effect_force_newhorde_buildings_chaos
num_buildings_to_spawn_for_new_horde_army	wh_main_set_newhorde_savage_orcs	wh_main_effect_force_newhorde_buildings_savage_orcs
