effect_bonus_value_name_record_junctions_tables
1
unknown0	unknown1	unknown2
active	wh2_main_effect_name_title_def_black_ark_admiral	1270751732
active	wh2_main_title_name_of_power_barbedlash	1197072195
active	wh2_main_title_name_of_power_barbedlash	416735603
active	wh2_main_title_name_of_power_barbstorm	1486754598
active	wh2_main_title_name_of_power_barbstorm	307006359
active	wh2_main_title_name_of_power_beastbinder	1136469686
active	wh2_main_title_name_of_power_beastbinder	579927179
active	wh2_main_title_name_of_power_blackstone	101567873
active	wh2_main_title_name_of_power_blackstone	1021071163
active	wh2_main_title_name_of_power_bloodscourge	1927453782
active	wh2_main_title_name_of_power_bloodscourge	688123377
active	wh2_main_title_name_of_power_darkpath	1006711097
active	wh2_main_title_name_of_power_darkpath	788811554
active	wh2_main_title_name_of_power_drakecleaver	1129600977
active	wh2_main_title_name_of_power_drakecleaver	1451431417
active	wh2_main_title_name_of_power_dreadtongue	1231094167
active	wh2_main_title_name_of_power_dreadtongue	1348952990
active	wh2_main_title_name_of_power_emeraldeye	1113856794
active	wh2_main_title_name_of_power_emeraldeye	45858417
active	wh2_main_title_name_of_power_fangshield	356245721
active	wh2_main_title_name_of_power_fangshield	767546611
active	wh2_main_title_name_of_power_fatedshield	933285448
active	wh2_main_title_name_of_power_fatedshield	963466196
active	wh2_main_title_name_of_power_gatesmiter	1109419635
active	wh2_main_title_name_of_power_gatesmiter	1232447988
active	wh2_main_title_name_of_power_granitestance	1341645697
active	wh2_main_title_name_of_power_granitestance	425406578
active	wh2_main_title_name_of_power_griefbringer	1617749886
active	wh2_main_title_name_of_power_griefbringer	809876439
active	wh2_main_title_name_of_power_grimgaze	2047976493
active	wh2_main_title_name_of_power_grimgaze	502106991
active	wh2_main_title_name_of_power_headreaper	1238542525
active	wh2_main_title_name_of_power_headreaper	344675774
active	wh2_main_title_name_of_power_hydrablood	1192091246
active	wh2_main_title_name_of_power_hydrablood	2069459162
active	wh2_main_title_name_of_power_khainemarked	1522496040
active	wh2_main_title_name_of_power_khainemarked	1592492457
active	wh2_main_title_name_of_power_krakenclaw	310328301
active	wh2_main_title_name_of_power_krakenclaw	566967508
active	wh2_main_title_name_of_power_leviathanrage	208432899
active	wh2_main_title_name_of_power_leviathanrage	349729937
active	wh2_main_title_name_of_power_lifequencher	1267943675
active	wh2_main_title_name_of_power_lifequencher	1427746037
active	wh2_main_title_name_of_power_moonshadow	1514032534
active	wh2_main_title_name_of_power_moonshadow	1571040341
active	wh2_main_title_name_of_power_pathguard	1824014480
active	wh2_main_title_name_of_power_pathguard	730373967
active	wh2_main_title_name_of_power_poisonblade	103970856
active	wh2_main_title_name_of_power_poisonblade	1093887037
active	wh2_main_title_name_of_power_shadowdart	1015951371
active	wh2_main_title_name_of_power_shadowdart	1769357726
active	wh2_main_title_name_of_power_soulblaze	1002144821
active	wh2_main_title_name_of_power_soulblaze	2134119591
active	wh2_main_title_name_of_power_spiteheart	1665279461
active	wh2_main_title_name_of_power_spiteheart	505315217
active	wh2_main_title_name_of_power_the_black_conqueror	1523423898
active	wh2_main_title_name_of_power_the_black_conqueror	58844089
active	wh2_main_title_name_of_power_the_dark_marshall	1702645355
active	wh2_main_title_name_of_power_the_dark_marshall	23639250
active	wh2_main_title_name_of_power_the_dire_overseer	574645723
active	wh2_main_title_name_of_power_the_dire_overseer	614782402
active	wh2_main_title_name_of_power_the_grey_vanquisher	154155411
active	wh2_main_title_name_of_power_the_grey_vanquisher	1873864970
active	wh2_main_title_name_of_power_the_hand_of_wrath	1284922054
active	wh2_main_title_name_of_power_the_hand_of_wrath	789942689
active	wh2_main_title_name_of_power_the_tempest_of_talons	1551818191
active	wh2_main_title_name_of_power_the_tempest_of_talons	76115727
active	wh2_main_title_name_of_power_the_tormentor	146370074
active	wh2_main_title_name_of_power_the_tormentor	622620309
active	wh2_main_title_name_of_power_wrathbringer	1152625320
active	wh2_main_title_name_of_power_wrathbringer	605876980
active	wh2_main_title_name_of_power_wyrmscale	1725206863
active	wh2_main_title_name_of_power_wyrmscale	220024485
active	wh_dlc03_effect_name_dummy_the_dark_omen	2147358923
priority	wh_dlc03_effect_name_dummy_the_dark_omen	2147358923
active	wh_dlc03_effect_name_dummy_the_one_eye	2147357906
priority	wh_dlc03_effect_name_dummy_the_one_eye	2147357906
active	wh_dlc03_effect_name_dummy_todbringer	2147343940
priority	wh_dlc03_effect_name_dummy_todbringer	2147343940
active	wh_dlc04_effect_name_dummy_ghorst	2147345294
priority	wh_dlc04_effect_name_dummy_ghorst	2147345294
active	wh_dlc04_effect_name_dummy_the_grim	2147358014
priority	wh_dlc04_effect_name_dummy_the_grim	2147358014
active	wh_dlc05_effect_name_dummy_morghur	2147357944
priority	wh_dlc05_effect_name_dummy_morghur	2147357944
active	wh_dlc06_effect_name_dummy_da_great_green_prophet	2147358027
priority	wh_dlc06_effect_name_dummy_da_great_green_prophet	2147358027
active	wh_dlc06_effect_name_dummy_ironhammer	2147358036
priority	wh_dlc06_effect_name_dummy_ironhammer	2147358036
active	wh_dlc07_effect_name_epithet_brt_beastscourge	2147359237
active	wh_dlc07_effect_name_epithet_brt_butcher	2147359241
active	wh_dlc07_effect_name_epithet_brt_coward	2147359249
active	wh_dlc07_effect_name_epithet_brt_crusader	2147359250
active	wh_dlc07_effect_name_epithet_brt_destroyer	2147359260
active	wh_dlc07_effect_name_epithet_brt_devoted	2147359267
active	wh_dlc07_effect_name_epithet_brt_disgraced	2147359269
active	wh_dlc07_effect_name_epithet_brt_doomslayer	2147359275
active	wh_dlc07_effect_name_epithet_brt_hidestriker	2147359277
active	wh_dlc07_effect_name_epithet_brt_kingslayer	2147359278
active	wh_dlc07_effect_name_epithet_brt_lazy	2147359285
active	wh_dlc07_effect_name_epithet_brt_legend	2147359291
active	wh_dlc07_effect_name_epithet_brt_moonslaker	2147359297
active	wh_dlc07_effect_name_epithet_brt_saviour	2147359302
active	wh_dlc07_effect_name_epithet_brt_wolf	2147359312
active	wh_main_effect_name_dummy_blank	2147358913
active	wh_main_effect_name_dummy_blank	2147358924
active	wh_main_effect_name_dummy_blank	2147358925
active	wh_main_effect_name_dummy_blank	2147358935
active	wh_main_effect_name_dummy_blank	2147358938
active	wh_main_effect_name_dummy_blank	2147358942
active	wh_main_effect_name_dummy_blank	2147358949
active	wh_main_effect_name_dummy_blank	2147358958
active	wh_main_effect_name_dummy_blank	2147358965
active	wh_main_effect_name_dummy_blank	2147359013
active	wh_main_effect_name_dummy_blank	2147359018
active	wh_main_effect_name_dummy_blank	2147360506
active	wh_main_effect_name_dummy_blank	2147360508
active	wh_main_effect_name_dummy_blank	2147360514
active	wh_main_effect_name_dummy_blank	2147360732
priority	wh_main_effect_name_dummy_blank	2147358913
priority	wh_main_effect_name_dummy_blank	2147358924
priority	wh_main_effect_name_dummy_blank	2147358925
priority	wh_main_effect_name_dummy_blank	2147358935
priority	wh_main_effect_name_dummy_blank	2147358938
priority	wh_main_effect_name_dummy_blank	2147358942
priority	wh_main_effect_name_dummy_blank	2147358949
priority	wh_main_effect_name_dummy_blank	2147358958
priority	wh_main_effect_name_dummy_blank	2147358965
priority	wh_main_effect_name_dummy_blank	2147359013
priority	wh_main_effect_name_dummy_blank	2147359018
priority	wh_main_effect_name_dummy_blank	2147360506
priority	wh_main_effect_name_dummy_blank	2147360508
priority	wh_main_effect_name_dummy_blank	2147360514
priority	wh_main_effect_name_dummy_blank	2147360732
active	wh_main_effect_name_dummy_de_bordeleaux	1529663917
priority	wh_main_effect_name_dummy_de_bordeleaux	1529663917
active	wh_main_effect_name_dummy_franz	2147343858
priority	wh_main_effect_name_dummy_franz	2147343858
active	wh_main_effect_name_dummy_gelt	2147343928
priority	wh_main_effect_name_dummy_gelt	2147343928
active	wh_main_effect_name_dummy_grudgebearer	2147343884
priority	wh_main_effect_name_dummy_grudgebearer	2147343884
active	wh_main_effect_name_dummy_ironfist	2147344423
priority	wh_main_effect_name_dummy_ironfist	2147344423
active	wh_main_effect_name_dummy_ironhide	2147343867
priority	wh_main_effect_name_dummy_ironhide	2147343867
active	wh_main_effect_name_dummy_kemmler	2147345313
priority	wh_main_effect_name_dummy_kemmler	2147345313
active	wh_main_effect_name_dummy_leoncoeur	2147343917
priority	wh_main_effect_name_dummy_leoncoeur	2147343917
active	wh_main_effect_name_dummy_suneater	2147345934
priority	wh_main_effect_name_dummy_suneater	2147345934
active	wh_main_effect_name_dummy_the_ever-watcher	2147357523
priority	wh_main_effect_name_dummy_the_ever-watcher	2147357523
active	wh_main_effect_name_dummy_the_everchosen	2147357364
priority	wh_main_effect_name_dummy_the_everchosen	2147357364
active	wh_main_effect_name_dummy_the_magnificent	2147357370
priority	wh_main_effect_name_dummy_the_magnificent	2147357370
active	wh_main_effect_name_dummy_the_slaughterer	2147357356
priority	wh_main_effect_name_dummy_the_slaughterer	2147357356
active	wh_main_effect_name_dummy_von_carstein	2147343895
priority	wh_main_effect_name_dummy_von_carstein	2147343895
active	wh_main_effect_name_epithet_brt_beloved_lord	2147351981
active	wh_main_effect_name_epithet_brt_champion_of_the_melee	2147357898
active	wh_main_effect_name_epithet_brt_champion_of_the_poor	2147352251
active	wh_main_effect_name_epithet_brt_clan-friend	2147350819
active	wh_main_effect_name_epithet_brt_dark-bringer	2147349966
