effect_bonus_value_ritual_junctions_tables
0
unknown0	unknown1	unknown2
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_def
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_hef
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_lzd
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_skv
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_def
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_hef
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_lzd
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_skv
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_def
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_hef
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_lzd
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_skv
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_def
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_hef
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_lzd
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_skv
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_def
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_hef
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_lzd
secondary_percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_skv
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_atharti
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_hekarti
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_khaine
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_mathlann
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_awakening
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_ferocity
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_primeval_glory
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_sotek
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_ritual_skv_pestilence
