effect_bonus_value_unit_ability_junctions_tables
0
effect	bonus_value_id	unit_ability
wh2_main_character_passive_fallen_mages	enable	wh2_main_character_passive_fallen_mages
wh2_main_effect_ability_cooldown_stand_or_die	recharge_mod	wh_main_character_abilities_stand_or_die
wh2_main_effect_ability_disable_bound_fireball	disable	wh_main_spell_bound_fireball
wh2_main_effect_ability_disable_fire_at_will	disable	wh2_main_character_passive_loose
wh2_main_effect_ability_disable_strength_through_spite	disable	wh2_main_lord_passive_strength_through_spite
wh2_main_effect_ability_enable_amulet_of_itzl	enable	wh2_main_item_abilities_amulet_of_itzl
wh2_main_effect_ability_enable_armour_of_the_stars	enable	wh2_main_item_abilities_armour_of_the_stars
wh2_main_effect_ability_enable_aura_of_quetzl	enable	wh2_main_item_abilities_aura_of_quetzl
wh2_main_effect_ability_enable_banner_of_outrage_dummy	miscast_percentage_mod	wh_main_unit_passive_frenzy
wh2_main_effect_ability_enable_battle_banner	enable	wh2_main_banner_passive_battle_banner
wh2_main_effect_ability_enable_black_dragon_egg	enable	wh2_main_item_abilities_black_dragon_egg
wh2_main_effect_ability_enable_black_staff	enable	wh2_main_spell_bound_black_staff
wh2_main_effect_ability_enable_blade_of_bel_korhadris	enable	wh2_main_item_abilities_blade_of_bel_korhadris
wh2_main_effect_ability_enable_blessed_tome	enable	wh2_main_item_passive_blessed_tome
wh2_main_effect_ability_enable_blood_statuette_of_spite	enable	wh2_main_item_abilities_blood_statuette_of_spite
wh2_main_effect_ability_enable_book_of_hoeth	enable	wh2_main_item_abilities_book_of_hoeth
wh2_main_effect_ability_enable_bow_of_the_seafarer	enable	wh2_main_weapon_abilities_bow_of_the_seafarer
wh2_main_effect_ability_enable_chillblade	enable	wh2_main_weapon_passive_chillblade
wh2_main_effect_ability_enable_circlet_of_iron	enable	wh2_main_item_passive_circlet_of_iron
wh2_main_effect_ability_enable_cube_of_darkness	enable	wh2_main_item_abilities_cube_of_darkness
wh2_main_effect_ability_enable_curse_charm_of_tepok	enable	wh2_main_item_passive_curse_charm_of_tepok
wh2_main_effect_ability_enable_darkstar_cloak	enable	wh2_main_item_passive_darkstar_cloak
wh2_main_effect_ability_enable_destroyer	enable	wh2_main_weapon_passive_destroyer
wh2_main_effect_ability_enable_diamond_guardian_phoenix	enable	wh2_main_item_passive_diamond_guardian_phoenix
wh2_main_effect_ability_enable_dragonhorn	enable	wh2_main_item_abilities_dragonhorn
wh2_main_effect_ability_enable_dwarf_gouger	enable	wh2_main_weapon_abilities_dwarf_gouger
wh2_main_effect_ability_enable_embers_of_the_phoenix	enable	wh2_main_spell_bound_embers_of_the_phoenix
wh2_main_effect_ability_enable_enchanted_spyglass	enable	wh2_main_item_passive_enchanted_spyglass
wh2_main_effect_ability_enable_gilded_horn_of_galon_konook	enable	wh2_main_item_bound_gilded_horn_of_galon_konook
wh2_main_effect_ability_enable_hand_of_gods	enable	wh2_main_spell_bound_hand_of_gods
wh2_main_effect_ability_enable_heart_of_avelorn	enable	wh2_main_item_passive_heart_of_averlorn
wh2_main_effect_ability_enable_heartrender_and_the_darksword	enable	wh2_main_weapon_passive_heartrender_and_the_darksword
