event_feed_events_tables
4
unknown0	unknown1	unknown2
agent_action_vs_army	wh_event_subcategory_agent_action	False
agent_action_vs_army_with_immortal_general	wh_event_subcategory_agent_action	False
agent_action_vs_character	wh_event_subcategory_agent_action	False
agent_action_vs_immortal_character	wh_event_subcategory_agent_action	False
agent_action_vs_settlement	wh_event_subcategory_agent_action	False
agent_discovered	wh_event_subcategory_agent_action	False
agent_discovered_yours	wh_event_subcategory_agent_action	False
agent_recruited	wh_event_subcategory_agent_recruited	False
character_ancillary_gained	wh_event_subcategory_character_ancillaries	True
character_ancillary_lost	wh_event_subcategory_character_ancillaries	True
character_ancillary_lost_stolen	wh_event_subcategory_character_ancillaries	True
character_born_illegitimate	wh_event_subcategory_faction_developments	False
character_born_legitimate	wh_event_subcategory_faction_developments	False
character_dies_battle	wh_event_subcategory_character_deaths	False
character_dies_executed	wh_event_subcategory_character_deaths	False
character_dies_hostile	wh_event_subcategory_character_deaths	False
character_dies_in_action	wh_event_subcategory_character_deaths	False
character_dies_infant_mortality	wh_event_subcategory_character_deaths	False
character_dies_natural	wh_event_subcategory_character_deaths	False
character_dies_suspicious	wh_event_subcategory_character_deaths	False
character_loyalty_critical	wh_event_subcategory_character_development	True
character_loyalty_impeding_defection	wh_event_subcategory_character_development	True
character_loyalty_low	wh_event_subcategory_character_development	True
character_loyalty_not_critical_anymore	wh_event_subcategory_character_development	True
character_loyalty_not_low_anymore	wh_event_subcategory_character_development	True
character_rank_gained	wh_event_subcategory_character_development	False
character_ready_for_duty	wh_event_subcategory_character_development	False
character_ready_for_duty_starting_general	wh_event_subcategory_character_development	False
character_trait_gained	wh_event_subcategory_character_traits	True
character_trait_lost	wh_event_subcategory_character_traits	True
character_wounded	wh_event_subcategory_character_deaths	False
conquest_battle	wh_event_subcategory_conquest_battle	False
conquest_blockade_established	wh_event_subcategory_conquest_siege_blockade	False
conquest_blockade_lifted	wh_event_subcategory_conquest_siege_blockade	False
conquest_enemy_raid_settlement	wh_event_subcategory_conquest_enemy_raids	False
conquest_enemy_raid_trade_route	wh_event_subcategory_conquest_enemy_raids	False
conquest_province_contested	wh_event_subcategory_conquest_territorial_disputes	False
conquest_province_secured	wh_event_subcategory_conquest_territorial_disputes	True
conquest_sea_region_contested	wh_event_subcategory_conquest_territorial_disputes	True
conquest_sea_region_controlled	wh_event_subcategory_conquest_territorial_disputes	True
conquest_settlement_capital_captured	wh_event_subcategory_conquest_occupation	False
conquest_settlement_captured	wh_event_subcategory_conquest_occupation	False
conquest_settlement_surrender_warning	wh_event_subcategory_conquest_occupation	False
conquest_siege_established	wh_event_subcategory_conquest_siege_blockade	False
conquest_siege_lifted	wh_event_subcategory_conquest_siege_blockade	False
diplomacy_faction_destroyed	wh_event_subcategory_diplomacy_war_peace	True
diplomacy_faction_emerges	wh_event_subcategory_diplomacy_state_matters	True
diplomacy_faction_encountered	wh_event_subcategory_diplomacy_state_matters	True
diplomacy_faction_joins_war	wh_event_subcategory_diplomacy_war_peace	True
diplomacy_treaty_broken_client_state	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_client_state_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_defensive_alliance	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_defensive_alliance_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_military_alliance	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_military_alliance_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_non_aggression_pact	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_non_aggression_pact_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_soft_military_access	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_soft_military_access_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_trade	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_trade_dissolved	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_trade_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_broken_vassal	wh_event_subcategory_diplomacy_treaty_broken	True
diplomacy_treaty_broken_vassal_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	True
diplomacy_treaty_negotiated_client_state	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_defensive_alliance	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_military_alliance	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_non_aggression_pact	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_peace	wh_event_subcategory_diplomacy_war_peace	True
diplomacy_treaty_negotiated_soft_military_access	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_trade	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_treaty_negotiated_vassal	wh_event_subcategory_diplomacy_treaty_negotiated	True
diplomacy_trespassing	wh_event_subcategory_diplomacy_state_matters	True
diplomacy_war_coordination_ally_mobilisation_vs_force	wh_event_subcategory_diplomacy_war_coordination	True
