faction_to_faction_groups_junctions_tables
0
faction_group_key	faction_key
wh_main_fact_group_bretonnia	wh2_main_brt_knights_of_origo
wh_main_fact_group_bretonnia	wh2_main_brt_knights_of_the_flame
wh_main_fact_group_bretonnia	wh2_main_brt_thegans_crusaders
wh_dlc03_fact_group_beastmen	wh2_main_bst_blooded_axe
wh_dlc03_fact_group_beastmen	wh2_main_bst_blooded_axe_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_manblight
wh_dlc03_fact_group_beastmen	wh2_main_bst_manblight_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_ripper_horn
wh_dlc03_fact_group_beastmen	wh2_main_bst_ripper_horn_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_shadowgor
wh_dlc03_fact_group_beastmen	wh2_main_bst_shadowgor_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_skrinderkin
wh_dlc03_fact_group_beastmen	wh2_main_bst_skrinderkin_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_stone_horn
wh_dlc03_fact_group_beastmen	wh2_main_bst_stone_horn_brayherd
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_def
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_hef
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_lzd
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_skv
wh2_main_fact_group_dark_elves	wh2_main_def_bleak_holds
wh2_main_fact_group_dark_elves	wh2_main_def_blood_hall_coven
wh2_main_fact_group_dark_elves	wh2_main_def_clar_karond
wh2_main_fact_group_dark_elves	wh2_main_def_cult_of_excess
wh2_main_fact_group_dark_elves	wh2_main_def_cult_of_pleasure
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves_intervention
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves_rebels
wh2_main_fact_group_dark_elves	wh2_main_def_deadwood_sentinels
wh2_main_fact_group_dark_elves	wh2_main_def_drackla_coven
wh2_main_fact_group_dark_elves	wh2_main_def_ghrond
wh2_main_fact_group_dark_elves	wh2_main_def_hag_graef
wh2_main_fact_group_vor_def_morathi	wh2_main_def_har_ganeth
wh2_main_fact_group_dark_elves	wh2_main_def_karond_kar
wh2_main_fact_group_vor_def_malekith	wh2_main_def_naggarond
wh2_main_fact_group_dark_elves	wh2_main_def_scourge_of_khaine
wh2_main_fact_group_dark_elves	wh2_main_def_ssildra_tor
wh2_main_fact_group_dark_elves	wh2_main_def_the_forgebound
wh_main_fact_group_dwarfs	wh2_main_dwf_greybeards_prospectors
wh_main_fact_group_dwarfs	wh2_main_dwf_karak_zorn
wh_main_fact_group_dwarfs	wh2_main_dwf_spine_of_sotek_dwarfs
wh_main_fact_group_empire	wh2_main_emp_new_world_colonies
wh_main_fact_group_empire	wh2_main_emp_pirates_of_sartosa
wh_main_fact_group_empire	wh2_main_emp_sudenburg
wh_main_fact_group_greenskins	wh2_main_grn_arachnos
wh_main_fact_group_greenskins	wh2_main_grn_arachnos_waaagh
wh_main_fact_group_greenskins	wh2_main_grn_blue_vipers
wh_main_fact_group_greenskins	wh2_main_grn_blue_vipers_waaagh
wh2_main_fact_group_high_elves	wh2_main_hef_avelorn
wh2_main_fact_group_high_elves	wh2_main_hef_caledor
wh2_main_fact_group_high_elves	wh2_main_hef_chrace
wh2_main_fact_group_high_elves	wh2_main_hef_citadel_of_dusk
wh2_main_fact_group_high_elves	wh2_main_hef_cothique
wh2_main_fact_group_vor_hef_tyrion	wh2_main_hef_eataine
wh2_main_fact_group_high_elves	wh2_main_hef_ellyrion
wh2_main_fact_group_high_elves	wh2_main_hef_fortress_of_dawn
wh2_main_fact_group_high_elves	wh2_main_hef_high_elves
