factions_tables
34
key	index	-	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	card_colour_r	card_colour_g	card_colour_b	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	default_audio_actor_vo_group	feature_forest
att_fact_blue	2041769781	0	wh_main_sc_emp_empire	playable	Blue	Blue	89	default		False	False	False	ui\flags\wh_main_brt_artois		ui\flags\wh_main_brt_artois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_vampire_counts	0	0	0	0	False	False	207	207	You are attacking Red Shield!	You are defending against Red Shield!	FACTION_ODA	0	0	0	500	wh_main_vo_culture_Orc	default	emp		False			False	default	wh_main_vo_actor_Vampire_Lord	LOCKED_STANDARD
att_fact_red	2041769771	0	wh_main_sc_emp_empire	playable	Red	Red	89	default		False	False	False	ui\flags\wh_main_brt_artois		ui\flags\wh_main_brt_artois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_vampire_counts	0	0	0	0	False	False	207	207	You are attacking Red Shield!	You are defending against Red Shield!	FACTION_ODA	0	0	0	500	wh_main_vo_culture_Orc	default	emp		False			False	default	wh_main_vo_actor_Vampire_Lord	LOCKED_STANDARD
att_fact_yellow	2041769764	0	wh_main_sc_emp_empire	playable	Yellow	Yellow	89	default		False	False	False	ui\flags\wh_main_brt_artois		ui\flags\wh_main_brt_artois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_vampire_counts	0	0	0	0	False	False	207	207	You are attacking Red Shield!	You are defending against Red Shield!	FACTION_ODA	0	0	0	500	wh_main_vo_culture_Orc	default	emp		False			False	default	wh_main_vo_actor_Vampire_Lord	LOCKED_STANDARD
wh2_main_brt_knights_of_origo	2041771287	0	wh_main_sc_brt_bretonnia	playable	Knights of Origo	Knights of Origo	162	wh_main_brt_bretonnia	wh_main_brt_bretonnia	False	False	False	ui\flags\wh2_main_brt_knights_of_origo		ui\flags\wh2_main_brt_knights_of_origo	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_bretonnia	0	0	0	0	False	False	162	162	You are attacking the Knights of Origo!	You are defending against the Knights of Origo!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Bretonnian	default	brt		False			False	WH_Bretonnia	wh_main_vo_actor_Bretonnian_Lord	LOCKED_STANDARD
wh2_main_brt_knights_of_the_flame	2041771521	0	wh_main_sc_brt_bretonnia	playable	Knights of the Flame	Knights of the Flame	162	wh_main_brt_bretonnia	wh_main_brt_bretonnia	False	False	False	ui\flags\wh2_main_brt_knights_of_the_flame		ui\flags\wh2_main_brt_knights_of_the_flame	255	253	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_bretonnia	0	0	0	0	False	False	162	162	You are attacking the Knights of the Flame!	You are defending against the Knights of the Flame!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Bretonnian	default	brt		False			False	WH_Bretonnia	wh_main_vo_actor_Bretonnian_Lord	LOCKED_STANDARD
wh2_main_brt_thegans_crusaders	2041771512	0	wh_main_sc_brt_bretonnia	playable	Thegan's Errantry	Thegan's Errantry	162	wh_main_brt_bretonnia	wh_main_brt_bretonnia	False	False	False	ui\flags\wh2_main_brt_thegans_crusaders		ui\flags\wh2_main_brt_thegans_crusaders	79	129	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_bretonnia	0	0	0	0	False	False	162	162	You are attacking Thegan's Crusaders!	You are defending against Thegan's Errantry!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Bretonnian	default	brt		False			False	WH_Bretonnia	wh_main_vo_actor_Bretonnian_Lord	LOCKED_STANDARD
wh2_main_bst_blooded_axe	2041771420	0	wh_dlc03_sc_bst_beastmen	playable	Blooded-Axe Tribe	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_blooded_axe		ui\flags\wh2_main_bst_blooded_axe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Blooded-Axe Tribe!	You are defending against the Blooded-Axe Tribe!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_blooded_axe_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_blooded_axe_brayherd	2041771468	0	wh_dlc03_sc_bst_beastmen	playable	Blooded-Axe Tribe Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_blooded_axe		ui\flags\wh2_main_bst_blooded_axe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Blooded-Axe Tribe Brayherd!	You are defending against the Blooded-Axe Tribe Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
wh2_main_bst_manblight	2041771422	0	wh_dlc03_sc_bst_beastmen	playable	Manblight Tribe	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_manblight		ui\flags\wh2_main_bst_manblight	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Manblight Tribe!	You are defending against the Manblight Tribe!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_manblight_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_manblight_brayherd	2041771472	0	wh_dlc03_sc_bst_beastmen	playable	Manblight Tribe Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_manblight		ui\flags\wh2_main_bst_manblight	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Manblight Tribe Brayherd!	You are defending against the Manblight Tribe Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
wh2_main_bst_ripper_horn	2041771428	0	wh_dlc03_sc_bst_beastmen	playable	Ripper-Horn Tribe	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_ripper_horn		ui\flags\wh_dlc03_bst_beastmen_ripper_horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Ripper-Horn Tribe!	You are defending against the Ripper-Horn Tribe!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_ripper_horn_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_ripper_horn_brayherd	2041771474	0	wh_dlc03_sc_bst_beastmen	playable	Ripper-Horn Tribe Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_ripper_horn		ui\flags\wh_dlc03_bst_beastmen_ripper_horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Ripper-Horn Tribe Brayherd!	You are defending against the Ripper-Horn Tribe Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
wh2_main_bst_shadowgor	2041771432	0	wh_dlc03_sc_bst_beastmen	playable	Shadowgor Warherd	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_shadowgor		ui\flags\wh_dlc03_bst_beastmen_shadowgor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Shadowgor Warherd!	You are defending against the Shadowgor Warherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_shadowgor_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_shadowgor_brayherd	2041771482	0	wh_dlc03_sc_bst_beastmen	playable	Shadowgor Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_shadowgor		ui\flags\wh_dlc03_bst_beastmen_shadowgor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Shadowgor Brayherd!	You are defending against the Shadowgor Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
