factionwide_recruitment_unit_exclusions_units_sets_junctions_tables
0
unknown0	unknown1
exclusion_set_beastmen	wh_dlc03_bst_cha_beastlord_0
exclusion_set_beastmen	wh_dlc03_bst_cha_beastlord_1
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_beasts_0
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_beasts_1
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_death_0
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_death_1
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_shadows_0
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_shadows_1
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_wild_0
exclusion_set_beastmen	wh_dlc03_bst_cha_bray_shaman_wild_1
exclusion_set_beastmen	wh_dlc03_bst_cha_gorebull_0
exclusion_set_beastmen	wh_dlc03_bst_cha_graktar_0
exclusion_set_beastmen	wh_dlc03_bst_cha_khazrak_one_eye_0
exclusion_set_beastmen	wh_dlc03_bst_cha_khazrak_one_eye_1
exclusion_set_beastmen	wh_dlc03_bst_cha_malagor_the_dark_omen_0
exclusion_set_beastmen	wh_dlc05_bst_cha_morghur_0
exclusion_set_beastmen	wh_dlc05_bst_cha_morghur_0_boss
exclusion_set_greenskins	wh_dlc05_grn_cha_snorko_one_finger_0
exclusion_set_greenskins	wh_dlc05_grn_cha_snorko_one_finger_1
exclusion_set_greenskins	wh_dlc05_grn_cha_snorko_one_finger_2
exclusion_set_greenskins	wh_dlc06_grn_cha_night_goblin_warboss_0
exclusion_set_greenskins	wh_dlc06_grn_cha_night_goblin_warboss_1
exclusion_set_greenskins	wh_dlc06_grn_cha_skarsnik_0
exclusion_set_greenskins	wh_dlc06_grn_cha_wurrzag_0
exclusion_set_greenskins	wh_dlc06_grn_cha_wurrzag_1
exclusion_set_greenskins	wh_main_grn_cha_azhag_the_slaughterer_0
exclusion_set_greenskins	wh_main_grn_cha_azhag_the_slaughterer_1
exclusion_set_greenskins	wh_main_grn_cha_goblin_big_boss_0
exclusion_set_greenskins	wh_main_grn_cha_goblin_big_boss_1
exclusion_set_greenskins	wh_main_grn_cha_goblin_big_boss_2
exclusion_set_greenskins	wh_main_grn_cha_goblin_great_shaman_0
exclusion_set_greenskins	wh_main_grn_cha_goblin_great_shaman_1
exclusion_set_greenskins	wh_main_grn_cha_grimgor_ironhide
exclusion_set_greenskins	wh_main_grn_cha_night_goblin_shaman
exclusion_set_greenskins	wh_main_grn_cha_orc_warboss_0
exclusion_set_greenskins	wh_main_grn_cha_orc_warboss_1
exclusion_set_greenskins	wh_main_grn_cha_orc_warboss_2
