fonts_tables
0
bold	key	size
False	Calligraph421	10
False	Calligraph421	12
False	Calligraph421	14
False	Calligraph421	16
False	Calligraph421	18
False	Calligraph421	20
False	Calligraph421	22
False	Calligraph421	24
False	Calligraph421	26
False	Calligraph421	28
False	Calligraph421	30
False	Calligraph421	32
False	Calligraph421	34
False	Norse-Bold	10
False	Norse-Bold	12
False	Norse-Bold	14
False	Norse-Bold	16
False	Norse-Bold	18
False	Norse-Bold	50
False	Norse	10
False	Norse	12
False	Norse	14
False	Norse	16
False	georgia_italic	10
False	georgia_italic	12
False	georgia_italic	14
False	georgia_italic	16
False	georgia_italic	18
False	georgia_italic	20
False	georgia_italic	22
False	georgia_italic	24
False	georgia_italic	26
False	georgia_italic	28
False	georgia_italic	30
False	georgia_italic	32
False	georgia_italic	34
False	la_gioconda	10
False	la_gioconda	12
False	la_gioconda	14
False	la_gioconda	16
False	la_gioconda	18
False	la_gioconda	20
False	la_gioconda	22
False	la_gioconda	26
False	la_gioconda	28
False	la_gioconda	30
False	la_gioconda	32
False	la_gioconda	34
False	la_gioconda	36
False	la_gioconda	38
False	la_gioconda_uppercase	10
False	la_gioconda_uppercase	12
False	la_gioconda_uppercase	14
False	la_gioconda_uppercase	16
False	la_gioconda_uppercase	18
False	la_gioconda_uppercase	20
False	la_gioconda_uppercase	22
False	la_gioconda_uppercase	24
False	la_gioconda_uppercase	26
False	la_gioconda_uppercase	28
False	la_gioconda_uppercase	30
False	la_gioconda_uppercase	32
False	la_gioconda_uppercase	34
False	la_gioconda_uppercase	36
False	la_gioconda_uppercase	38
