formations_to_subcultures_tables
0
formation	sub_culture
test_melee_forward_simple	wh2_main_sc_def_dark_elves
test_melee_forward_simple	wh2_main_sc_hef_high_elves
test_melee_forward_simple	wh2_main_sc_lzd_lizardmen
test_melee_forward_simple	wh2_main_sc_skv_skaven
test_melee_forward_simple	wh_dlc03_sc_bst_beastmen
test_melee_forward_simple	wh_dlc05_sc_wef_wood_elves
test_melee_forward_simple	wh_main_sc_brt_bretonnia
test_melee_forward_simple	wh_main_sc_chs_chaos
test_melee_forward_simple	wh_main_sc_dwf_dwarfs
test_melee_forward_simple	wh_main_sc_emp_empire
test_melee_forward_simple	wh_main_sc_grn_greenskins
test_melee_forward_simple	wh_main_sc_grn_savage_orcs
test_melee_forward_simple	wh_main_sc_vmp_vampire_counts
test_missile_forward_simple	wh2_main_sc_def_dark_elves
test_missile_forward_simple	wh2_main_sc_hef_high_elves
test_missile_forward_simple	wh2_main_sc_lzd_lizardmen
test_missile_forward_simple	wh2_main_sc_skv_skaven
test_missile_forward_simple	wh_dlc03_sc_bst_beastmen
test_missile_forward_simple	wh_dlc05_sc_wef_wood_elves
test_missile_forward_simple	wh_main_sc_brt_bretonnia
test_missile_forward_simple	wh_main_sc_chs_chaos
test_missile_forward_simple	wh_main_sc_dwf_dwarfs
test_missile_forward_simple	wh_main_sc_emp_empire
test_missile_forward_simple	wh_main_sc_grn_greenskins
test_missile_forward_simple	wh_main_sc_grn_savage_orcs
test_missile_forward_simple	wh_main_sc_vmp_vampire_counts
