ground_type_to_stat_effects_tables
4
affected_stat	ground_type	multiplier	unknown3
scalar_speed	deep_water	0.7	
scalar_speed	forest	0.8	aquatic_large
scalar_speed	forest	0.8	large
stat_accuracy	forest	1.5	elves_wef
stat_melee_attack	forest	0.8	aquatic_large
stat_melee_attack	forest	0.8	large
stat_melee_attack	forest	1.1	small_forest_strider
stat_melee_defence	forest	1.2	elves_wef
stat_melee_defence	forest	1.2	small_forest_strider
scalar_speed	rock	0.95	
scalar_speed	rock	1	ethereal
scalar_speed	scrub	0.95	
scalar_speed	scrub	1	ethereal
scalar_speed	shallow_water	0.8	elves_wef
scalar_speed	shallow_water	0.8	small
scalar_speed	shallow_water	0.8	small_forest_strider
stat_melee_attack	shallow_water	1.2	aquatic_large
stat_melee_attack	shallow_water	1.2	aquatic_small
stat_melee_attack	shallow_water	0.8	elves_wef
stat_melee_attack	shallow_water	0.8	small
stat_melee_attack	shallow_water	0.8	small_forest_strider
stat_melee_defence	shallow_water	1.2	aquatic_large
stat_melee_defence	shallow_water	1.2	aquatic_small
scalar_speed	sharp_stones	0.7	
scalar_speed	sharp_stones	1	large
scalar_speed	sharp_stones	1	large_bst
