incidents_tables
5
unknown0	key	unknown2	unknown3	unknown4
False	wh2_main_dilemma_treasure_hunt_barracks_1_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_2_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_2_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_3_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_3_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_4_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_barracks_4_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_1_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_2_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_2_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_3_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_3_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_4_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_battlefield_4_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_1_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_2_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_2_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_3_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_3_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_4_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest_4_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_1_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_2_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_2_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_3_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_3_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_4_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults_4_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_1_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_2_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_2_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_3_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_3_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_4_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork_4_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_1_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_2_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_2_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_3_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_4_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_flooded_armoury_4_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_1_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_2_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_2_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_3_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_3_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_4_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_graveyard_4_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_1_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_2_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_2_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_3_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_3_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_4_a	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen_4_b	wh2_treasure_hunt_4	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_1_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_2_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_2_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_3_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_3_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_4_a	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine_4_b	wh2_treasure_hunt	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_1_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_2_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_2_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_3_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_3_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_4_a	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel_4_b	wh2_treasure_hunt_2	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_1_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_2_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_2_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_3_a	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_3_a_spy	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_3_b	wh2_treasure_hunt_3	True	Quest
False	wh2_main_dilemma_treasure_hunt_lone_wanderer_4_a	wh2_treasure_hunt_3	True	Quest
