lab_settings_tables
2
key	max_value	min_value	sort_order	step_size	display_as_percentage	default_value
ability_cooldown	1	0	11	0.01	True	0
ability_radius	3	1	10	0.01	True	1
ammunition	3	1	7	0.01	True	1
blood	3	1	14	0.01	True	1
charge_duration	3	1	12	0.01	True	1
damage	3	0.25	0	0.01	True	1
entity_scale	2.5	0.5	13	0.01	True	1
explosions	1.5	1	4	0.01	True	1
gravity	1	0.1	9	0.01	True	1
impact	10	1	1	0.01	True	1
morale	2	1	2	0.01	True	1
projectile_penetration	3	1	8	0.01	True	1
reload_time	0.5	0	6	0.01	True	0
unit_size	10	1	-1	1	False	1
vigour	1	0	5	0.01	True	0
winds_of_magic	2	1	3	0.05	True	1
