loading_screen_quotes_to_cultures_tables
0
unknown0	unknown1
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_astromancy
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_blessed_spawnings
wh2_main_hef_high_elves	wh2_main_hp_campaign_espionage
wh2_main_skv_skaven	wh2_main_hp_campaign_food
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_geomantic_web
wh2_main_hef_high_elves	wh2_main_hp_campaign_influence
wh2_main_hef_high_elves	wh2_main_hp_campaign_intrigue_at_the_court
wh2_main_def_dark_elves	wh2_main_hp_campaign_loyalty
wh2_main_skv_skaven	wh2_main_hp_campaign_loyalty
wh2_main_def_dark_elves	wh2_main_hp_campaign_rites
wh2_main_hef_high_elves	wh2_main_hp_campaign_rites
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_rites
wh2_main_skv_skaven	wh2_main_hp_campaign_rites
wh2_main_def_dark_elves	wh2_main_hp_campaign_slaves
wh2_main_skv_skaven	wh2_main_hp_campaign_the_menace_below
wh_dlc03_bst_beastmen	wh_dlc03_hp_campaign_beast_paths
wh_dlc03_bst_beastmen	wh_dlc03_hp_campaign_bestial_rage
wh_dlc03_bst_beastmen	wh_dlc03_hp_campaign_brayherds
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_amber
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_asrai_lookouts
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_elven_council
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_elven_halls
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_gathering_of_the_ancients
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_oak_of_ages
wh_dlc05_wef_wood_elves	wh_dlc05_hp_campaign_worldroots
wh_main_brt_bretonnia	wh_main_hp_campaign_blessing_lady
wh_main_brt_bretonnia	wh_main_hp_campaign_chivalry
wh_main_grn_greenskins	wh_main_hp_campaign_fightiness
wh_main_brt_bretonnia	wh_main_hp_campaign_green_knight
wh_main_dwf_dwarfs	wh_main_hp_campaign_grudges
wh_dlc03_bst_beastmen	wh_main_hp_campaign_horde_growth
wh_main_chs_chaos	wh_main_hp_campaign_horde_growth
wh_main_emp_empire	wh_main_hp_campaign_offices
wh_main_brt_bretonnia	wh_main_hp_campaign_peasants
wh_main_vmp_vampire_counts	wh_main_hp_campaign_raising_dead
