military_force_legacy_emblems_tables
2
culure_key	unknown1	is_army	key	unknown4	banner_decorator	icon
wh_dlc03_bst_beastmen	False	True	beastmen_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_dlc03_bst_beastmen	False	False	beastmen_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_main_brt_bretonnia	False	True	bretonnia_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_main_brt_bretonnia	False	False	bretonnia_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_main_chs_chaos	False	True	chaos_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_main_chs_chaos	False	False	chaos_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh2_main_def_dark_elves	False	True	dark_elves_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh2_main_def_dark_elves	False	False	dark_elves_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_main_dwf_dwarfs	False	True	dwarfs_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_main_dwf_dwarfs	False	False	dwarfs_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_main_emp_empire	False	True	empire_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_main_emp_empire	False	False	empire_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_main_grn_greenskins	False	True	greenskins_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_main_grn_greenskins	False	False	greenskins_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh2_main_hef_high_elves	False	True	high_elves_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh2_main_hef_high_elves	False	False	high_elves_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh2_main_lzd_lizardmen	False	True	lizardmen_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh2_main_lzd_lizardmen	False	False	lizardmen_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh2_main_rogue	False	True	rogue_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh2_main_rogue	False	False	rogue_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh2_main_skv_skaven	False	True	skaven_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh2_main_skv_skaven	False	False	skaven_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
wh_dlc05_wef_wood_elves	False	True	wood_elves_test_emblem_army_01	False	rome_emblem_01	rome_emblem_01
wh_dlc05_wef_wood_elves	False	False	wood_elves_test_emblem_navy_01	False	rome_emblem_01	rome_emblem_01
