ministerial_positions_culture_details_tables
6
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9
wh2_main_def_dark_elves		placeholder	faction_leader	False	1470	0	0	0	placeholder
wh2_main_hef_high_elves		placeholder	faction_leader	False	1947	0	0	0	placeholder
wh2_main_lzd_lizardmen		placeholder	faction_leader	False	1491	0	0	0	placeholder
wh2_main_rogue		placeholder	faction_leader	False	2129481498	0	0	0	placeholder
wh2_main_skv_skaven		placeholder	faction_leader	False	1923	0	0	0	placeholder
	wh2_main_wef_bowmen_of_oreon	placeholder	faction_leader	False	1855	0	0	0	placeholder
wh_dlc03_bst_beastmen		placeholder	faction_leader	False	719	0	0	0	placeholder
	wh_dlc05_wef_argwylon	wh_dlc05_minister_string_wef_faction_leader_durthu	faction_leader	False	1582	0	0	0	wh_dlc05_minister_string_wef_faction_leader_durthu_desc
	wh_dlc05_wef_mini_anmyr	placeholder	faction_leader	False	1630	0	0	0	placeholder
	wh_dlc05_wef_mini_argwylon	wh_dlc05_minister_string_wef_faction_leader_durthu	faction_leader	False	1627	0	0	0	wh_dlc05_minister_string_wef_faction_leader_durthu_desc
	wh_dlc05_wef_mini_arranoc	placeholder	faction_leader	False	1640	0	0	0	placeholder
	wh_dlc05_wef_mini_atylwyth	placeholder	faction_leader	False	1643	0	0	0	placeholder
	wh_dlc05_wef_mini_cavaroc	placeholder	faction_leader	False	1650	0	0	0	placeholder
	wh_dlc05_wef_mini_cythral	placeholder	faction_leader	False	1660	0	0	0	placeholder
	wh_dlc05_wef_mini_fyr_darric	placeholder	faction_leader	False	1663	0	0	0	placeholder
	wh_dlc05_wef_mini_modryn	placeholder	faction_leader	False	1670	0	0	0	placeholder
	wh_dlc05_wef_mini_tirsyth	placeholder	faction_leader	False	1678	0	0	0	placeholder
	wh_dlc05_wef_mini_torgovann	placeholder	faction_leader	False	1682	0	0	0	placeholder
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_faction_leader	faction_leader	False	1617	0	0	0	wh_dlc05_minister_string_wef_faction_leader_desc
	wh_dlc05_wef_mini_wydrioth	placeholder	faction_leader	False	1686	0	0	0	placeholder
	wh_dlc05_wef_torgovann	placeholder	faction_leader	False	1594	0	0	0	placeholder
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_faction_leader	faction_leader	False	1575	0	0	0	wh_dlc05_minister_string_wef_faction_leader_desc
	wh_dlc05_wef_wood_elves_qb1	placeholder	faction_leader	False	1598	0	0	0	placeholder
	wh_dlc05_wef_wood_elves_qb2	placeholder	faction_leader	False	1603	0	0	0	placeholder
	wh_dlc05_wef_wood_elves_qb3	placeholder	faction_leader	False	1612	0	0	0	placeholder
	wh_dlc05_wef_wood_elves_rebels	placeholder	faction_leader	False	1613	0	0	0	placeholder
	wh_dlc05_wef_wydrioth	placeholder	faction_leader	False	1591	0	0	0	placeholder
wh_main_brt_bretonnia		placeholder	faction_leader	False	1815	0	0	0	placeholder
