pooled_resource_factor_junctions_tables
0
unknown0	unknown1	unknown2
skaven_food_bribes	bribes	skaven_food
skaven_food_buildings	buildings	skaven_food
skaven_food_canibalism	canibalism	skaven_food
skaven_food_captives	captives	skaven_food
skaven_food_colonisation	colonisation	skaven_food
skaven_food_commandments	commandments	skaven_food
skaven_food_force_upkeep	force_upkeep	skaven_food
skaven_food_looting	looting	skaven_food
skaven_food_menace_below	wh2_main_resource_factor_menace_below	skaven_food
skaven_food_raiding	raiding	skaven_food
skaven_food_regions	regions	skaven_food
skaven_food_rituals	wh2_main_resource_factor_rituals	skaven_food
skaven_food_scavenging	scavenging	skaven_food
skaven_food_the_dominating_scheme	wh2_main_resource_factor_the_dominating_scheme	skaven_food
