projectile_impacts_tables
11
key	water	sails	mud	grass	road	rock	sand	cloth	snow	leather	wood	foliage
arrow	wh_main_impact_vsmall_water		wh_main_impact_arrow_mud	wh_main_impact_arrow_grass	wh_main_impact_arrow_rock	wh_main_impact_arrow_rock	wh_main_impact_arrow_sand	wh_main_impact_arrow_snow	wh_main_impact_vsmall_leather	wh_main_impact_arrow_wood	wh_dlc02_arrow_impact_blood_medium	
arrow_fire	wh_main_impact_vsmall_water		wh_main_impact_arrow_mud	wh_main_impact_arrow_grass	wh_main_impact_arrow_rock	wh_main_impact_arrow_rock	wh_main_impact_arrow_sand	wh_main_impact_arrow_snow	wh_main_impact_vsmall_leather	wh_main_impact_arrow_wood	wh_dlc02_arrow_impact_blood_medium	
boiling_oil												
carcass	wh_main_impact_medium_water		wh_main_impact_small_mud	wh_main_impact_small_grass	wh_main_impact_small_rock	wh_main_impact_small_rock	wh_main_impact_small_sand	wh_main_impact_small_snow	wh_main_impact_small_leather	wh_main_impact_small_wood	wh_dlc02_arrow_impact_blood_medium	
carcass_blood	wh_main_impact_medium_water		wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_main_impact_small_leather	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	
wh2_main_abilities_bloodwrack_cauldron	wh_main_impact_large_water		wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_bolt_of_spite	wh_main_impact_medium_water		wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact		wh_main_unit_impact_medium
wh2_main_abilities_brazen_cauldron	wh_main_impact_large_water		wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_khaines_flail_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact		wh_main_unit_impact_medium
wh2_main_abilities_khaines_lash_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact		wh_main_unit_impact_medium
