projectile_shot_type_enum_tables
6
key	requires_effect_enabling	supersedes_shot_type	icon_name	unknown4
artillery_canister	False		artillery_canister	UI_BAT_SABL_Generic_Enable
artillery_default	False		artillery_default	UI_BAT_SABL_Generic_Enable
artillery_explosive	False		artillery_explosive	UI_BAT_SABL_Generic_Enable
artillery_flammable	True		artillery_flammable	UI_BAT_SABL_Generic_Enable
artillery_poison	False		artillery_poison	UI_BAT_SABL_Generic_Enable
artillery_whistling	True		artillery_whistling	UI_BAT_SABL_Generic_Enable
explosives	False		explosives	UI_BAT_SABL_Generic_Enable
oil	True		oil	UI_BAT_SABL_Generic_Enable
small_arm_default	False		small_arm_default	UI_BAT_SABL_Generic_Enable
small_arm_extended	False		small_arm_extended	UI_BAT_SABL_Generic_Enable
small_arm_flaming	False		small_arm_flaming	UI_BAT_SABL_Generic_Enable
small_arm_heavy	False		small_arm_heavy	UI_BAT_SABL_Generic_Enable
small_arm_poison	False		small_arm_poison	UI_BAT_SABL_Generic_Enable
small_arm_whistling	False		small_arm_whistling	UI_BAT_SABL_Generic_Enable
torch	True		torch	UI_BAT_SABL_Generic_Enable
