region_to_province_junctions_tables
1
province	region	unknown2
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_fortress_of_the_damned	True
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_palace_of_princes	False
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_the_palace_of_ruin	False
wh2_main_ash_river	wh2_main_ash_river_numas	True
wh2_main_ash_river	wh2_main_ash_river_quatar	False
wh2_main_ash_river	wh2_main_ash_river_springs_of_eternal_life	False
wh2_main_atalan_mountains	wh2_main_atalan_mountains_eye_of_the_panther	False
wh2_main_atalan_mountains	wh2_main_atalan_mountains_martek	False
wh2_main_atalan_mountains	wh2_main_atalan_mountains_vulture_mountain	True
wh2_main_avelorn	wh2_main_avelorn_evershale	False
wh2_main_avelorn	wh2_main_avelorn_gaean_vale	True
wh2_main_avelorn	wh2_main_avelorn_tor_saroir	False
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_plain_of_dogs	False
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_plain_of_spiders	False
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_red_desert	True
wh2_main_caledor	wh2_main_caledor_tor_sethai	False
wh2_main_caledor	wh2_main_caledor_vauls_anvil	True
wh2_main_charnel_valley	wh2_main_charnel_valley_granite_massif	False
wh2_main_charnel_valley	wh2_main_charnel_valley_karag_orrud	True
wh2_main_chrace	wh2_main_chrace_elisia	False
wh2_main_chrace	wh2_main_chrace_tor_achare	True
wh2_main_coast_of_araby	wh2_main_coast_of_araby_al_haikk	True
wh2_main_coast_of_araby	wh2_main_coast_of_araby_copher	False
wh2_main_coast_of_araby	wh2_main_coast_of_araby_fyrus	False
wh2_main_cothique	wh2_main_cothique_mistnar	False
wh2_main_cothique	wh2_main_cothique_tor_koruali	True
wh2_main_crater_of_the_walking_dead	wh2_main_crater_of_the_walking_dead_doom_glade	False
wh2_main_crater_of_the_walking_dead	wh2_main_crater_of_the_walking_dead_rasetra	True
wh2_main_deadwood	wh2_main_deadwood_dargoth	False
wh2_main_deadwood	wh2_main_deadwood_nagrar	False
wh2_main_deadwood	wh2_main_deadwood_shagrath	False
