resources_to_campaign_junctions_tables
0
unknown0	unknown1
main_warhammer	res_animals
wh2_main_great_vortex	res_animals
main_warhammer	res_dyes
wh2_main_great_vortex	res_dyes
main_warhammer	res_gems
wh2_main_great_vortex	res_gems
main_warhammer	res_medicine
wh2_main_great_vortex	res_medicine
main_warhammer	res_obsidian
wh2_main_great_vortex	res_obsidian
main_warhammer	res_rom_furs
wh2_main_great_vortex	res_rom_furs
main_warhammer	res_rom_glass
wh2_main_great_vortex	res_rom_glass
main_warhammer	res_rom_iron
wh2_main_great_vortex	res_rom_iron
main_warhammer	res_rom_lead
wh2_main_great_vortex	res_rom_lead
main_warhammer	res_rom_marble
wh2_main_great_vortex	res_rom_marble
main_warhammer	res_rom_oil
wh2_main_great_vortex	res_rom_oil
main_warhammer	res_rom_textiles
wh2_main_great_vortex	res_rom_textiles
main_warhammer	res_rom_timber
wh2_main_great_vortex	res_rom_timber
main_warhammer	res_rom_wine
wh2_main_great_vortex	res_rom_wine
main_warhammer	res_spices
wh2_main_great_vortex	res_spices
main_warhammer	res_trinkets
wh2_main_great_vortex	res_trinkets
