ritual_beams_tables
1
unknown0	unknown1	unknown2	id
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_def.bmd	wh2_main_def_dark_elves	10026114
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	1007162764
CAPITAL	prefabs\campaign\campaign_rituals_settlement_skv.bmd	wh2_main_skv_skaven	1028234465
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_large_broken_skv.bmd	wh2_main_skv_skaven	1070248832
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_broken_xlrg_hef.bmd	wh2_main_hef_high_elves	1070354110
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_hef.bmd	wh2_main_hef_high_elves	1074448491
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_small_hef.bmd	wh2_main_hef_high_elves	1082473864
CAPITAL_BROKEN	prefabs/campaign/campaign_rituals_settlement_broken_def.bmd	wh2_main_def_dark_elves	1083359192
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_xlrg_hef.bmd	wh2_main_hef_high_elves	1114388191
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	113435060
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_med_def.bmd	wh2_main_def_dark_elves	114323516
CAPITAL	prefabs\campaign\campaign_rituals_settlement_hef.bmd	wh2_main_hef_high_elves	1153953421
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_large_broken_lzd.bmd	wh2_main_lzd_lizardmen	1169378938
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_large_lzd.bmd	wh2_main_lzd_lizardmen	1169715120
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_lzd.bmd	wh2_main_lzd_lizardmen	1173528039
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_hef.bmd	wh2_main_hef_high_elves	1188922135
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_med_hef.bmd	wh2_main_hef_high_elves	1191023840
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_med_hef.bmd	wh2_main_hef_high_elves	1197780815
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_large_broken_hef.bmd	wh2_main_hef_high_elves	1200263959
CAPITAL_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_skv.bmd	wh2_main_skv_skaven	1204475393
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_skv.bmd	wh2_main_skv_skaven	121780771
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_med_hef.bmd	wh2_main_hef_high_elves	1233349608
VORTEX	prefabs/campaign/campaign_vortex_default.bmd	*	128914101
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_small_broken_def.bmd	wh2_main_def_dark_elves	1292423506
CITY_BROKEN	prefabs/campaign/campaign_rituals_settlement_broken_def.bmd	wh2_main_def_dark_elves	1293902004
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_med_broken_skv.bmd	wh2_main_skv_skaven	1294788255
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_hef.bmd	wh2_main_hef_high_elves	129821048
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	1311707426
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_skv.bmd	wh2_main_skv_skaven	1358627167
CAPITAL_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_lzd.bmd	wh2_main_lzd_lizardmen	1363311886
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_hef.bmd	wh2_main_hef_high_elves	1371741045
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_xlrg_skv.bmd	wh2_main_skv_skaven	1389082683
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_small_hef.bmd	wh2_main_hef_high_elves	1426394704
VORTEX	prefabs/campaign/campaign_vortex_hef.bmd	wh2_main_hef_high_elves	1434394366
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_med_broken_lzd.bmd	wh2_main_lzd_lizardmen	1435774588
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_med_lzd.bmd	wh2_main_lzd_lizardmen	1448067054
CAPITAL	prefabs\campaign\campaign_rituals_settlement_lzd.bmd	wh2_main_lzd_lizardmen	1492833592
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_small_broken_hef.bmd	wh2_main_hef_high_elves	1497856374
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_xlrg_hef.bmd	wh2_main_hef_high_elves	1519288257
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_hef.bmd	wh2_main_hef_high_elves	1520302125
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_med_broken_hef.bmd	wh2_main_hef_high_elves	1534971096
CAPITAL	prefabs\campaign\campaign_rituals_settlement_def.bmd	wh2_main_def_dark_elves	1550446116
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_lzd.bmd	wh2_main_lzd_lizardmen	1552599041
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_skv.bmd	wh2_main_skv_skaven	1558397083
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_xlrg_def.bmd	wh2_main_def_dark_elves	1558520366
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_small_skv.bmd	wh2_main_skv_skaven	156961789
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_med_lzd.bmd	wh2_main_lzd_lizardmen	1591361609
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_xlrg_hef.bmd	wh2_main_hef_high_elves	1593015480
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_hef.bmd	wh2_main_hef_high_elves	1593054922
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_hef.bmd	wh2_main_hef_high_elves	1607835825
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_med_def.bmd	wh2_main_def_dark_elves	1650064642
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_large_skv.bmd	wh2_main_skv_skaven	1745266218
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_small_skv.bmd	wh2_main_skv_skaven	1785699234
VORTEX	prefabs/campaign/campaign_vortex_skv.bmd	wh2_main_skv_skaven	1787519264
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_hef.bmd	wh2_main_hef_high_elves	1791814383
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_xlrg_skv.bmd	wh2_main_skv_skaven	1811933635
VORTEX	prefabs/campaign/campaign_vortex_lzd.bmd	wh2_main_lzd_lizardmen	1826725265
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_lzd.bmd	wh2_main_lzd_lizardmen	1838933073
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_skv.bmd	wh2_main_skv_skaven	1852422349
CITY_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_skv.bmd	wh2_main_skv_skaven	1853193350
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_skv.bmd	wh2_main_skv_skaven	1868240873
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_med_broken_def.bmd	wh2_main_def_dark_elves	1868348854
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_xlrg_def.bmd	wh2_main_def_dark_elves	1882029548
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_lzd.bmd	wh2_main_lzd_lizardmen	1898849221
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_small_def.bmd	wh2_main_def_dark_elves	1902530127
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_large_def.bmd	wh2_main_def_dark_elves	1908992368
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_small_def.bmd	wh2_main_def_dark_elves	1909528365
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_skv.bmd	wh2_main_skv_skaven	1923028148
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_def.bmd	wh2_main_def_dark_elves	1924920233
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_def.bmd	wh2_main_def_dark_elves	1930382886
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_def.bmd	wh2_main_def_dark_elves	1933155119
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_skv.bmd	wh2_main_skv_skaven	1969096695
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_xlrg_skv.bmd	wh2_main_skv_skaven	1984978092
CAPITAL_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_hef.bmd	wh2_main_hef_high_elves	199180490
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_skv.bmd	wh2_main_skv_skaven	19935863
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_xlrg_def.bmd	wh2_main_def_dark_elves	1995413668
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_large_hef.bmd	wh2_main_hef_high_elves	2016344238
