ritual_reaction_constraints_tables
1
unknown0	unknown1	unknown2	unknown3
wh2_main_ritual_intervention_1_def	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_1_hef	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_1_lzd	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_1_skv	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_2_def	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_2_hef	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_2_lzd	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_2_skv	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_3_def	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_3_hef	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_3_lzd	VORTEX_RITUAL	False	False
wh2_main_ritual_intervention_3_skv	VORTEX_RITUAL	False	False
