scripted_subtitles_tables
2
key	character_for_vo
esc_to_skip_cutscene	
wh2_intro_battle_def_1	malekith
wh2_intro_battle_def_2	malekith
wh2_intro_battle_def_3	malekith
wh2_intro_battle_hef_1	tyrion
wh2_intro_battle_hef_2	tyrion
wh2_intro_battle_hef_3	tyrion
wh2_intro_battle_hef_4	tyrion
wh2_intro_battle_lzd_1	lord_mazdamundi
wh2_intro_battle_lzd_2	lord_mazdamundi
wh2_intro_battle_lzd_3	lord_mazdamundi
wh2_intro_battle_skv_1	queek_headtaker
wh2_intro_battle_skv_2	queek_headtaker
wh2_intro_battle_skv_3	queek_headtaker
wh2_intro_battle_skv_4	queek_headtaker
wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3_pt_01	kroqgar
wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3_pt_02	kroqgar
wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3_pt_03	kroqgar
wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3_pt_04	kroqgar
wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3_pt_05	kroqgar
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_pt_01	malekith
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_pt_02	malekith
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_pt_03	malekith
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_pt_04	malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_pt_01	malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_pt_02	malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_pt_03	malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_pt_04	malekith
wh2_main_qb_def_malekith_final_battle_pt_01	malekith
wh2_main_qb_def_malekith_final_battle_pt_02	malekith
wh2_main_qb_def_malekith_final_battle_pt_03	malekith
wh2_main_qb_def_malekith_final_battle_pt_04	malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_pt_01	malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_pt_02	malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_pt_03	malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_pt_04	malekith
wh2_main_qb_def_morathi_final_battle_pt_01	morathi
wh2_main_qb_def_morathi_final_battle_pt_02	morathi
wh2_main_qb_def_morathi_final_battle_pt_03	morathi
wh2_main_qb_def_morathi_final_battle_pt_04	morathi
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_pt_01	morathi
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_pt_02	morathi
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_pt_03	morathi
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_pt_04	morathi
wh2_main_qb_hef_teclis_final_battle_pt_01	teclis
wh2_main_qb_hef_teclis_final_battle_pt_02	teclis
wh2_main_qb_hef_teclis_final_battle_pt_03	teclis
wh2_main_qb_hef_teclis_final_battle_pt_04	teclis
wh2_main_qb_hef_teclis_sword_of_teclis_stage_vauls_anvil_3_pt_01	teclis
wh2_main_qb_hef_teclis_sword_of_teclis_stage_vauls_anvil_3_pt_02	teclis
wh2_main_qb_hef_teclis_sword_of_teclis_stage_vauls_anvil_3_pt_03	teclis
