slot_template_to_building_superchain_junctions_tables
0
building_superchain	id	slot_template
wh_main_sch_greenskin_shaman	1000	wh_main_dwarf_orc_major_secondary_marble
wh_dlc05_sch_wef_eco_income	10000	wh_dlc05_elf_major_secondary_dyes
wh_main_sch_greenskin_resource_timber_military	1000275449	wh_main_special_vauls_anvil_secondary
wh2_main_sch_military2_stables	1000290175	wh2_main_special_pyramid_of_nagash_secondary_ritual
wh_dlc05_sch_wef_mil_melee	10010	wh_dlc05_elf_major_secondary_dyes
wh_main_sch_human_worship	100161287	wh2_main_special_marks_of_the_old_ones_secondary_ritual
wh_dlc05_sch_wef_mil_cavalry	10018	wh_dlc05_elf_major_secondary_dyes
wh_main_sch_dwarf_walls	1001920022	wh2_main_special_altar_of_the_horned_rat_secondary_ritual
wh_dlc05_sch_wef_mil_ranged	10024	wh_dlc05_elf_major_secondary_dyes
wh_dlc05_sch_wef_mil_tree_spirits	10028	wh_dlc05_elf_major_secondary_dyes
wh_dlc05_sch_wef_sup_armoury	10032	wh_dlc05_elf_major_secondary_dyes
wh_dlc05_sch_wef_sup_fletcher	10034	wh_dlc05_elf_major_secondary_dyes
wh_main_sch_human_industry_basic	1003737335	wh2_main_human_minor_secondary_obsidian
wh_dlc05_sch_wef_sdf_garrison	10039	wh_dlc05_elf_major_secondary_furs
wh_main_sch_human_forges	1004128386	wh2_main_special_yuatek_secondary
wh_dlc05_sch_wef_sdf_walls	10044	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_eco_public_order	10046	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_eco_growth	10047	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_eco_income	10048	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_mil_melee	10052	wh_dlc05_elf_major_secondary_furs
wh_main_sch_greenskin_walls	1005576313	wh2_main_special_axlotl_secondary
wh_main_sch_special_reiksfort	1005678622	wh_main_norsca_minor_secondary
wh_dlc05_sch_wef_mil_cavalry	10057	wh_dlc05_elf_major_secondary_furs
wh_main_sch_greenskin_boss	1006	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_mil_ranged	10062	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_mil_tree_spirits	10067	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_sup_armoury	10074	wh_dlc05_elf_major_secondary_furs
wh_dlc05_sch_wef_sup_fletcher	10078	wh_dlc05_elf_major_secondary_furs
wh_main_sch_bretonnia_farm_extra	1008146450	wh2_main_special_clarak_spire_secondary
wh_dlc05_sch_wef_sdf_garrison	10085	wh_dlc05_elf_major_secondary_gold
wh_main_sch_greenskin_walls	1008668829	wh_main_human_major_secondary_gold
wh_dlc05_sch_wef_sdf_walls	10090	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_eco_public_order	10095	wh_dlc05_elf_major_secondary_gold
wh2_main_sch_military3_warmachines	1009692477	wh_main_special_waterfall_palace_secondary
wh2_main_sch_infrastructure1_farm	1009716863	wh2_main_special_golden_colossus_secondary_ritual
wh_dlc05_sch_wef_eco_growth	10100	wh_dlc05_elf_major_secondary_gold
wh2_main_sch_infrastructure2_industry	1010364185	wh_main_special_karag_dromar_secondary
wh_dlc05_sch_wef_eco_income	10107	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_mil_melee	10114	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_mil_cavalry	10119	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_mil_ranged	10121	wh_dlc05_elf_major_secondary_gold
wh_main_sch_special_reiksfort	1012295380	wh2_main_special_lothern_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10124	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_sup_armoury	10125	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_outpost_recruitment	1013065110	wh_main_human_minor_secondary_salt
wh_main_sch_special_reiksfort	1013088143	wh2_main_special_karag_orrud_secondary
wh_dlc05_sch_wef_sup_fletcher	10132	wh_dlc05_elf_major_secondary_gold
wh_dlc05_sch_wef_sdf_garrison	10133	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_sdf_walls	10140	wh_dlc05_elf_major_secondary_iron
wh2_main_sch_support1_smith	1014228104	wh_main_norsca_minor_secondary
wh_dlc05_sch_wef_eco_public_order	10144	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_eco_growth	10152	wh_dlc05_elf_major_secondary_iron
wh2_main_sch_infrastructure2_industry	1015319874	wh_main_norsca_minor_secondary_iron
wh_dlc05_sch_wef_eco_income	10154	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_mil_melee	10156	wh_dlc05_elf_major_secondary_iron
wh2_main_sch_special_underway_hub	1015802913	wh_main_special_eight_peaks_secondary
wh2_main_sch_support2_worship	1015899553	wh2_main_special_ghrond_secondary_ritual
wh_dlc05_sch_wef_mil_cavalry	10160	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_mil_ranged	10163	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_mil_tree_spirits	10166	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_sup_armoury	10167	wh_dlc05_elf_major_secondary_iron
wh_main_sch_dwarf_walls	1016793560	wh2_main_human_major_secondary_medicine
wh_dlc05_sch_wef_sup_fletcher	10172	wh_dlc05_elf_major_secondary_iron
wh_dlc05_sch_wef_sdf_garrison	10175	wh_dlc05_elf_major_secondary_marble
wh_dlc05_sch_wef_sdf_walls	10177	wh_dlc05_elf_major_secondary_marble
wh_dlc05_sch_wef_eco_public_order	10180	wh_dlc05_elf_major_secondary_marble
wh_dlc05_sch_wef_eco_growth	10181	wh_dlc05_elf_major_secondary_marble
wh2_main_sch_infrastructure4_energy	1018308954	wh_main_norsca_major_secondary
wh_main_sch_special_reiksfort	1018424582	wh2_main_special_ghrond_secondary_ritual
wh_main_sch_kislev_walls	101849938	wh_main_special_carcassonne_secondary
wh_dlc05_sch_wef_eco_income	10185	wh_dlc05_elf_major_secondary_marble
wh2_main_sch_vampires_raisedead	1018677102	wh_main_special_waterfall_palace_secondary
wh_dlc05_sch_wef_mil_melee	10195	wh_dlc05_elf_major_secondary_marble
wh_main_sch_special_reiksfort	1019692897	wh2_main_special_tlaxtlan_secondary_ritual
wh_dlc05_sch_wef_mil_cavalry	10201	wh_dlc05_elf_major_secondary_marble
wh_main_sch_dwarf_walls	1020180478	wh2_main_special_gaean_vale_secondary
wh_main_sch_human_forges	1020543667	wh2_main_special_caverns_of_sotek_secondary_ritual
wh_dlc05_sch_wef_mil_ranged	10206	wh_dlc05_elf_major_secondary_marble
wh_main_sch_special_reiksfort	1020741297	wh_main_norsca_major_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10209	wh_dlc05_elf_major_secondary_marble
wh_dlc05_sch_wef_sup_armoury	10210	wh_dlc05_elf_major_secondary_marble
wh_main_sch_bretonnia_industry_extra	1021181350	wh_main_norsca_minor_secondary_iron
wh_main_sch_human_tavern	1021186670	wh2_main_special_chamber_of_visions_secondary_ritual
wh_dlc05_sch_wef_sup_fletcher	10215	wh_dlc05_elf_major_secondary_marble
wh_main_sch_human_forges	1021616468	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_dlc05_sch_wef_sdf_garrison	10218	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_outpost_recruitment	1021877034	wh2_main_special_axlotl_minor_secondary
wh_main_sch_human_garrison	1021980040	wh2_main_special_chamber_of_visions_secondary_ritual
wh_dlc05_sch_wef_sdf_walls	10225	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_eco_public_order	10228	wh_dlc05_elf_major_secondary_pastures
wh_main_sch_settlement_major	1023575052	wh_main_special_carcassonne_primary
wh_dlc05_sch_wef_eco_growth	10236	wh_dlc05_elf_major_secondary_pastures
wh_main_sch_vampires_forest	102436582	wh2_main_special_golden_tower_of_the_gods_secondary_ritual
wh_dlc05_sch_wef_eco_income	10244	wh_dlc05_elf_major_secondary_pastures
wh2_main_sch_infrastructure6_other	1024890743	wh2_main_special_altar_of_ultimate_darkness_secondary_major
wh_main_sch_greenskin_farm	1025	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_mil_melee	10254	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_mil_cavalry	10255	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_outpost_foraging	1025961822	wh2_main_special_def_vauls_anvil_secondary_ritual
wh_main_sch_vampires_vampires	1026017997	wh2_main_special_yuatek_secondary
wh_dlc05_sch_wef_mil_ranged	10264	wh_dlc05_elf_major_secondary_pastures
wh2_main_sch_support4_other	1026922538	wh_main_norsca_major_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10272	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_sup_armoury	10274	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_sup_fletcher	10277	wh_dlc05_elf_major_secondary_pastures
wh_dlc05_sch_wef_sdf_garrison	10285	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_sdf_walls	10286	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_eco_public_order	10290	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_outpost_replenishment	1029188541	wh_main_special_erengrad_secondary
wh_main_sch_special_reiksfort	1029576135	wh2_main_special_clar_karond_secondary
wh_dlc05_sch_wef_eco_growth	10299	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_eco_income	10309	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_mil_melee	10316	wh_dlc05_elf_major_secondary_pottery
wh_main_sch_greenskin_walls	103194637	wh2_main_special_altar_of_ultimate_darkness_secondary_major
wh_dlc05_sch_wef_mil_cavalry	10322	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_mil_ranged	10329	wh_dlc05_elf_major_secondary_pottery
wh2_main_sch_infrastructure7_minor	103309519	wh2_main_human_minor_secondary_amber
wh_dlc05_sch_wef_outpost_foraging	1033105862	wh2_main_special_yuatek_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10336	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_sup_armoury	10344	wh_dlc05_elf_major_secondary_pottery
wh2_main_sch_infrastructure1_farm	1034473262	wh_main_special_vauls_anvil_secondary
wh_dlc05_sch_wef_sup_fletcher	10350	wh_dlc05_elf_major_secondary_pottery
wh_dlc05_sch_wef_sdf_garrison	10352	wh_dlc05_elf_major_secondary_salt
wh_dlc05_sch_wef_sdf_walls	10358	wh_dlc05_elf_major_secondary_salt
wh2_main_sch_military1_barracks	10365806	wh_main_special_karag_dromar_secondary
wh_dlc05_sch_wef_eco_public_order	10367	wh_dlc05_elf_major_secondary_salt
wh2_main_sch_support3_wizards	1037520043	wh2_main_special_tor_achare_secondary
wh_dlc05_sch_wef_eco_growth	10376	wh_dlc05_elf_major_secondary_salt
wh2_main_sch_infrastructure4_energy	1037768449	wh2_main_special_tor_surpindar_secondary_ritual
wh_dlc05_sch_wef_eco_income	10384	wh_dlc05_elf_major_secondary_salt
wh_dlc05_sch_wef_mil_melee	10387	wh_dlc05_elf_major_secondary_salt
wh_dlc05_sch_wef_sdf_garrison	1038821611	wh2_main_special_lothern_secondary
wh_dlc05_sch_wef_mil_cavalry	10390	wh_dlc05_elf_major_secondary_salt
wh_main_sch_greenskin_industry	1040	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_mil_ranged	10400	wh_dlc05_elf_major_secondary_salt
wh_dlc05_sch_wef_mil_tree_spirits	10404	wh_dlc05_elf_major_secondary_salt
wh_main_sch_human_worship	1040499508	wh_main_special_marienburg_secondary
wh_dlc05_sch_wef_sup_armoury	10405	wh_dlc05_elf_major_secondary_salt
wh_main_sch_dwarf_walls	104079578	wh2_main_special_clarak_spire_secondary
wh_dlc05_sch_wef_sup_fletcher	10415	wh_dlc05_elf_major_secondary_salt
wh_dlc05_sch_wef_sdf_garrison	10424	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_sdf_walls	10430	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_outpost_recruitment	1043314923	wh_main_norsca_major_secondary_marble
wh2_main_sch_military5	1043377025	wh_main_special_vauls_anvil_secondary
wh_dlc05_sch_wef_eco_public_order	10436	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_eco_growth	10439	wh_dlc05_elf_major_secondary_timber
wh_main_sch_special_reiksfort	1043936860	wh_main_special_yn_edryl_korian_secondary
wh2_main_sch_infrastructure5_tradingspying	1044167245	wh2_main_special_golden_colossus_secondary_ritual
wh_dlc05_sch_wef_outpost_recruitment	1044186216	wh_main_norsca_major_secondary
wh_dlc05_sch_wef_eco_income	10442	wh_dlc05_elf_major_secondary_timber
wh_main_sch_vampires_forest	1044356068	wh2_main_special_caverns_of_sotek_secondary_ritual
wh_dlc05_sch_wef_mil_melee	10446	wh_dlc05_elf_major_secondary_timber
wh2_main_sch_infrastructure6_other	1045329536	wh_main_special_middenheim_secondary
wh_dlc05_sch_wef_mil_cavalry	10455	wh_dlc05_elf_major_secondary_timber
wh_main_sch_bretonnia_farm_extra	1045879602	wh2_main_special_tor_achare_secondary
wh_dlc05_sch_wef_mil_ranged	10464	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_mil_tree_spirits	10465	wh_dlc05_elf_major_secondary_timber
wh_main_sch_vampires_walls	1046835136	wh_main_special_carcassonne_secondary
wh_dlc05_sch_wef_sup_armoury	10470	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_sup_fletcher	10478	wh_dlc05_elf_major_secondary_timber
wh_dlc05_sch_wef_sdf_garrison	10479	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_sdf_walls	10489	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_eco_public_order	10496	wh_dlc05_elf_major_secondary_wine
wh_main_sch_greenskin_goblin_tinker	1050	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_eco_growth	10501	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_eco_income	10510	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_mil_melee	10520	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_mil_cavalry	10529	wh_dlc05_elf_major_secondary_wine
wh2_main_sch_infrastructure2_industry	1053133683	wh2_main_special_caverns_of_sotek_secondary_ritual
wh_dlc05_sch_wef_mil_ranged	10532	wh_dlc05_elf_major_secondary_wine
wh_main_sch_human_barracks	1053687985	wh2_main_special_tor_achare_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10537	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_sup_armoury	10542	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_sup_fletcher	10545	wh_dlc05_elf_major_secondary_wine
wh_dlc05_sch_wef_sdf_garrison	10548	wh_dlc05_elf_minor_secondary_dyes
wh_main_sch_greenskin_monsters	1055	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_sdf_walls	10554	wh_dlc05_elf_minor_secondary_dyes
wh2_main_sch_wef_eco_replenishment	1056058500	wh_main_special_crag_halls_secondary
wh_dlc05_sch_wef_eco_public_order	10561	wh_dlc05_elf_minor_secondary_dyes
wh_main_sch_vandalization	1056157063	wh_main_norsca_minor_secondary_iron
wh_dlc05_sch_wef_eco_growth	10569	wh_dlc05_elf_minor_secondary_dyes
wh_dlc05_sch_wef_eco_income	10577	wh_dlc05_elf_minor_secondary_dyes
wh2_main_sch_ritual_hef	1057708167	wh2_main_special_golden_tower_of_the_gods_secondary_ritual
wh_dlc05_sch_wef_outpost_recruitment	1057728795	wh2_main_special_fallen_gates_secondary
wh_dlc05_sch_wef_mil_melee	10583	wh_dlc05_elf_minor_secondary_dyes
wh_dlc05_sch_wef_outpost_slaughter	1058555741	wh2_main_special_altar_of_ultimate_darkness_secondary
wh_dlc05_sch_wef_mil_cavalry	10593	wh_dlc05_elf_minor_secondary_dyes
wh_main_sch_dwarf_walls	1060	wh_main_dwarf_orc_major_secondary_pastures
wh_main_sch_human_worship	1060030095	wh_main_norsca_major_secondary_obsidian
wh_dlc05_sch_wef_mil_ranged	10602	wh_dlc05_elf_minor_secondary_dyes
wh_dlc05_sch_wef_mil_tree_spirits	10605	wh_dlc05_elf_minor_secondary_dyes
wh_dlc05_sch_wef_outpost_replenishment	1060575992	wh2_main_special_lahmia_secondary
wh2_main_sch_human_resource_furs_military	1061142810	wh_main_special_miragliano_secondary
wh_dlc05_sch_wef_sup_armoury	10612	wh_dlc05_elf_minor_secondary_dyes
wh_main_sch_kislev_walls	1061214611	wh2_main_special_tlaxtlan_secondary_ritual
wh_dlc05_sch_wef_mil_cavalry	1061317941	wh2_main_special_lothern_secondary
wh_main_sch_vandalization	1061344818	wh_dlc05_elf_major_secondary_oak_of_ages
wh_dlc05_sch_wef_sup_fletcher	10617	wh_dlc05_elf_minor_secondary_dyes
wh2_main_sch_military5	1062172434	wh2_main_special_yuatek_secondary
wh_dlc05_sch_wef_sdf_garrison	10625	wh_dlc05_elf_minor_secondary_furs
wh_main_sch_human_smiths	1062824271	wh2_main_special_karag_orrud_secondary
wh_dlc05_sch_wef_sdf_walls	10629	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_eco_public_order	10631	wh_dlc05_elf_minor_secondary_furs
wh2_main_sch_defence_major_hef	1063275345	wh2_main_special_karag_orrud_secondary
wh2_main_sch_infrastructure3_order	1063505616	wh2_main_special_zoishenk_secondary
wh_dlc05_sch_wef_eco_growth	10637	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_eco_income	10640	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_mil_melee	10647	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_mil_cavalry	10653	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_mil_ranged	10658	wh_dlc05_elf_minor_secondary_furs
wh2_main_sch_military4_monsters	1065929648	wh2_main_human_major_secondary_animals
wh_main_sch_greenskin_walls	106622457	wh_main_special_miragliano_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10667	wh_dlc05_elf_minor_secondary_furs
wh_dlc05_sch_wef_sup_armoury	10669	wh_dlc05_elf_minor_secondary_furs
wh_main_sch_bretonnia_hospital	1067070566	wh_main_special_erengrad_secondary
wh_dlc05_sch_wef_sup_fletcher	10672	wh_dlc05_elf_minor_secondary_furs
wh2_main_sch_military2_stables	1067753928	wh_main_special_crag_halls_secondary
wh_main_sch_greenskin_military	1068	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_sdf_garrison	10681	wh_dlc05_elf_minor_secondary_gold
wh_dlc05_sch_wef_sdf_walls	10690	wh_dlc05_elf_minor_secondary_gold
wh2_main_sch_infrastructure7_minor	1069422463	wh_main_human_minor_secondary
wh2_main_sch_support3_wizards	1069605051	wh_dlc05_elf_major_secondary_oak_of_ages
wh_dlc05_sch_wef_eco_public_order	10700	wh_dlc05_elf_minor_secondary_gold
