special_ability_groups_to_unit_abilities_junctions_tables
1
special_ability_groups	unit_special_abilities
wh2_main_lore_dark_magic	wh2_main_lore_passive_spiteful_conjuration
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_bladewind
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_chillwind
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_doombolt
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_soul_stealer
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_word_of_pain
wh2_main_lore_grey_seer_plague	wh2_main_lore_passive_plague_rash
wh2_main_lore_grey_seer_plague	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_bless_with_filth
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_pestilent_breath
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_plague
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_vermintide
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_wither
wh2_main_lore_grey_seer_ruin	wh2_main_lore_passive_musk_of_fear
wh2_main_lore_grey_seer_ruin	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_cracks_call
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_death_frenzy
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_howling_warpgale
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_scorch
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_warp_lightning
wh2_main_lore_high_magic	wh2_main_lore_passive_shield_of_saphery
wh2_main_lore_high_magic	wh2_main_spell_high_magic_apotheosis
wh2_main_lore_high_magic	wh2_main_spell_high_magic_arcane_unforging
wh2_main_lore_high_magic	wh2_main_spell_high_magic_fiery_convocation
wh2_main_lore_high_magic	wh2_main_spell_high_magic_hand_of_glory
wh2_main_lore_high_magic	wh2_main_spell_high_magic_soul_quench
wh2_main_lore_high_magic	wh2_main_spell_high_magic_tempest
wh2_main_lore_loremaster	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_lore_loremaster	wh_dlc05_spell_life_earth_blood
wh2_main_lore_loremaster	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_lore_loremaster	wh_main_spell_death_spirit_leech
wh2_main_lore_loremaster	wh_main_spell_heavens_harmonic_convergence
wh2_main_lore_loremaster	wh_main_spell_light_shems_burning_gaze
wh2_main_lore_morathi	wh2_main_lore_passive_spiteful_conjuration
wh2_main_lore_morathi	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_lore_morathi	wh2_main_spell_dark_magic_soul_stealer
wh2_main_lore_morathi	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_lore_morathi	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_lore_morathi	wh_main_lore_passive_life_leeching
wh2_main_lore_morathi	wh_main_spell_death_doom_and_darkness
wh2_main_lore_morathi	wh_main_spell_death_soulblight
wh2_main_lore_plague	wh2_main_lore_passive_plague_rash
wh2_main_lore_plague	wh2_main_spell_plague_bless_with_filth
wh2_main_lore_plague	wh2_main_spell_plague_pestilent_birth
wh2_main_lore_plague	wh2_main_spell_plague_pestilent_breath
wh2_main_lore_plague	wh2_main_spell_plague_plague
wh2_main_lore_plague	wh2_main_spell_plague_vermintide
wh2_main_lore_plague	wh2_main_spell_plague_wither
wh2_main_lore_ruin	wh2_main_lore_passive_musk_of_fear
wh2_main_lore_ruin	wh2_main_spell_ruin_cracks_call
wh2_main_lore_ruin	wh2_main_spell_ruin_death_frenzy
wh2_main_lore_ruin	wh2_main_spell_ruin_howling_warpgale
wh2_main_lore_ruin	wh2_main_spell_ruin_scorch
wh2_main_lore_ruin	wh2_main_spell_ruin_skitterleap
wh2_main_lore_ruin	wh2_main_spell_ruin_warp_lightning
wh2_main_lore_skink_priest_avatar	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_lore_skink_priest_avatar	wh_main_spell_heavens_comet_of_casandora
wh2_main_lore_skink_priest_avatar	wh_main_spell_heavens_wind_blast
wh2_main_lore_slann_generic	wh2_main_spell_high_magic_soul_quench
wh2_main_lore_slann_generic	wh2_main_spell_high_magic_tempest
wh2_main_lore_slann_generic	wh_main_lore_passive_roiling_skies
wh2_main_lore_slann_generic	wh_main_spell_heavens_chain_lightning
wh2_main_lore_slann_generic	wh_main_spell_heavens_wind_blast
wh2_main_lore_slann_generic	wh_main_spell_light_bironas_timewarp
wh2_main_lore_slann_generic	wh_main_spell_light_phas_protection
wh2_main_lore_slann	wh2_main_spell_high_magic_apotheosis
wh2_main_lore_slann	wh2_main_spell_high_magic_arcane_unforging
wh2_main_lore_slann	wh_main_lore_passive_roiling_skies
wh2_main_lore_slann	wh_main_spell_heavens_comet_of_casandora
wh2_main_lore_slann	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_lore_slann	wh_main_spell_heavens_harmonic_convergence
wh2_main_lore_slann	wh_main_spell_light_net_of_amyntok
wh2_main_lore_teclis	wh2_main_lore_passive_shield_of_saphery
wh2_main_lore_teclis	wh_dlc03_lore_passive_wild_heart
wh2_main_lore_teclis	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_lore_teclis	wh_dlc05_spell_life_regrowth
wh2_main_lore_teclis	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_lore_teclis	wh_main_lore_passive_kindleflame
wh2_main_lore_teclis	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_lore_teclis	wh_main_spell_heavens_chain_lightning
wh2_main_lore_teclis	wh_main_spell_light_net_of_amyntok
wh_dlc03_lore_beasts	wh_dlc03_lore_passive_wild_heart
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_flock_of_doom
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_the_amber_spear
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_transformation_of_kadon
wh_dlc03_lore_beasts	wh_dlc03_spell_beasts_wyssans_wildform
wh_dlc03_lore_wild	wh_dlc03_lore_passive_bestial_surge
wh_dlc03_lore_wild	wh_dlc03_spell_wild_bray_scream
wh_dlc03_lore_wild	wh_dlc03_spell_wild_devolve
wh_dlc03_lore_wild	wh_dlc03_spell_wild_mantle_of_ghorok
wh_dlc03_lore_wild	wh_dlc03_spell_wild_savage_dominion
wh_dlc03_lore_wild	wh_dlc03_spell_wild_traitor_kin
wh_dlc03_lore_wild	wh_dlc03_spell_wild_viletide
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_curse_of_years_helman
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_gaze_of_nagash_helman
