special_ability_to_special_ability_phase_junctions_tables
1
order	phase	special_ability
1	wh2_main_army_abilities_channeling_spire	wh2_main_army_abilities_channeling_spire
1	wh2_main_army_abilities_dark_conduit	wh2_main_army_abilities_dark_conduit
1	wh2_main_army_abilities_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone
1	wh2_main_army_abilities_holy_stela	wh2_main_army_abilities_holy_stela
1	wh2_main_army_abilities_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen
1	wh2_main_army_abilities_mors_clanstone	wh2_main_army_abilities_mors_clanstone
1	wh2_main_army_abilities_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone
1	wh2_main_army_abilities_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone
1	wh2_main_army_abilities_skyre_clanstone	wh2_main_army_abilities_skyre_clanstone
1	wh2_main_army_abilities_temple_of_mists	wh2_main_army_abilities_temple_of_mists
1	wh2_main_banner_passive_battle_banner	wh2_main_banner_passive_battle_banner
1	wh2_main_banner_passive_sacred_banner_of_the_horned_rat	wh2_main_banner_passive_sacred_banner_of_the_horned_rat
1	wh2_main_banner_passive_storm_banner	wh2_main_banner_passive_storm_banner
1	wh2_main_character_abilities_assassins_trophy	wh2_main_character_abilities_assassins_trophy
1	wh2_main_character_abilities_black_lotus	wh2_main_character_abilities_black_lotus
1	wh2_main_character_abilities_cold_blooded	wh2_main_character_abilities_cold_blooded
1	wh2_main_character_abilities_dark_venom	wh2_main_character_abilities_dark_venom
1	wh2_main_character_abilities_shield_of_the_old_ones	wh2_main_character_abilities_shield_of_the_old_ones
1	wh2_main_character_abilities_swiftness_of_itzl	wh2_main_character_abilities_swiftness_of_itzl
1	wh2_main_character_abilities_verminous_valour	wh2_main_character_abilities_verminous_valour
1	wh2_main_character_abilities_witchbrew	wh2_main_character_abilities_witchbrew
1	wh2_main_character_passive_aura_of_pestilence	wh2_main_character_passive_aura_of_pestilence
1	wh2_main_character_passive_darken_the_skies	wh2_main_character_passive_darken_the_skies
1	wh2_main_character_passive_fallen_mages	wh2_main_character_passive_fallen_mages
1	wh_dlc06_quest_passive_grand_arcane_conduit	wh2_main_character_passive_grand_arcane_conduit
1	wh2_main_character_passive_horn_of_isha	wh2_main_character_passive_horn_of_isha
1	wh2_main_character_passive_loose	wh2_main_character_passive_loose
1	wh2_main_faction_abilities_murderous_mastery	wh2_main_faction_abilities_murderous_mastery
1	wh2_main_faction_abilities_murderous_prowess	wh2_main_faction_abilities_murderous_prowess
1	wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_faction_abilities_murderous_prowess_indicator
1	wh2_main_item_abilities_amulet_of_itzl	wh2_main_item_abilities_amulet_of_itzl
1	wh2_main_item_abilities_armour_of_the_stars	wh2_main_item_abilities_armour_of_the_stars
1	wh2_main_item_abilities_aura_of_quetzl	wh2_main_item_abilities_aura_of_quetzl
1	wh2_main_item_abilities_blade_of_bel_korhadris	wh2_main_item_abilities_blade_of_bel_korhadris
1	wh2_main_item_abilities_blood_statuette_of_spite	wh2_main_item_abilities_blood_statuette_of_spite
1	wh2_main_item_abilities_book_of_hoeth	wh2_main_item_abilities_book_of_hoeth
1	wh2_main_item_abilities_cube_of_darkness	wh2_main_item_abilities_cube_of_darkness
1	wh2_main_item_abilities_dragonhorn	wh2_main_item_abilities_dragonhorn
1	wh2_main_item_abilities_pearl_of_infinite_bleakness	wh2_main_item_abilities_pearl_of_infinite_bleakness
1	wh2_main_item_abilities_plaque_of_dominion	wh2_main_item_abilities_plaque_of_dominion
1	wh2_main_item_abilities_rival_hide_talisman	wh2_main_item_abilities_rival_hide_talisman
1	wh2_main_item_abilities_rod_of_corruption	wh2_main_item_abilities_rod_of_corruption
1	wh2_main_item_abilities_scroll_of_hoeth	wh2_main_item_abilities_scroll_of_hoeth
1	wh2_main_item_abilities_scrying_stone	wh2_main_item_abilities_scrying_stone
1	wh2_main_item_abilities_skalm	wh2_main_item_abilities_skalm
1	wh2_main_item_abilities_skavenbrew	wh2_main_item_abilities_skavenbrew
1	wh2_main_item_abilities_starwood_staff	wh2_main_item_abilities_starwood_staff
1	wh2_main_item_abilities_talisman_of_loec	wh2_main_item_abilities_talisman_of_loec
1	wh2_main_item_abilities_the_bane_shield	wh2_main_item_abilities_the_bane_shield
1	wh2_main_item_abilities_the_guiding_eye	wh2_main_item_abilities_the_guiding_eye
1	wh2_main_item_abilities_the_horn_of_kygor	wh2_main_item_abilities_the_horn_of_kygor
1	wh2_main_item_abilities_the_liber_bubonicus	wh2_main_item_abilities_the_liber_bubonicus
1	wh2_main_item_abilities_the_tricksters_pendant	wh2_main_item_abilities_the_tricksters_pendant
1	wh2_main_item_abilities_the_vortex_shard	wh2_main_item_abilities_the_vortex_shard
1	wh2_main_item_abilities_warpstorm_scroll	wh2_main_item_abilities_warpstorm_scroll
1	wh2_main_item_abilities_worlds_edge_armour	wh2_main_item_abilities_worlds_edge_armour
1	wh2_main_item_passive_blessed_tome	wh2_main_item_passive_blessed_tome
1	wh2_main_item_passive_circlet_of_iron	wh2_main_item_passive_circlet_of_iron
1	wh2_main_item_passive_curse_charm_of_tepok	wh2_main_item_passive_curse_charm_of_tepok
1	wh2_main_item_passive_darkstar_cloak	wh2_main_item_passive_darkstar_cloak
1	wh2_main_item_passive_diamond_guardian_phoenix	wh2_main_item_passive_diamond_guardian_phoenix
1	wh2_main_item_passive_enchanted_spyglass	wh2_main_item_passive_enchanted_spyglass
1	wh2_main_unit_passive_rebirth_buffer	wh2_main_item_passive_heart_of_averlorn
2	wh2_main_item_passive_heart_of_averlorn	wh2_main_item_passive_heart_of_averlorn
1	wh2_main_item_passive_loremasters_cloak	wh2_main_item_passive_loremasters_cloak
1	wh2_main_item_passive_pipes_of_piebald	wh2_main_item_passive_pipes_of_piebald
1	wh2_main_item_passive_portents_of_verminous_doom	wh2_main_item_passive_portents_of_verminous_doom
1	wh2_main_item_passive_ring_of_hotek	wh2_main_item_passive_ring_of_hotek
1	wh2_main_item_passive_ruby_guardian_phoenix	wh2_main_item_passive_ruby_guardian_phoenix
1	wh2_main_item_passive_sacred_incense	wh2_main_item_passive_sacred_incense
1	wh2_main_item_passive_sapphire_guardian_phoenix	wh2_main_item_passive_sapphire_guardian_phoenix
1	wh2_main_item_passive_shadow_magnet_trinket	wh2_main_item_passive_shadow_magnet_trinket
1	wh2_main_item_passive_shield_of_distraction	wh2_main_item_passive_shield_of_distraction
1	wh2_main_item_passive_shield_of_ghrond	wh2_main_item_passive_shield_of_ghrond
1	wh2_main_item_passive_sunburst_standard_of_hexoatl	wh2_main_item_passive_sunburst_standard_of_hexoatl
1	wh2_main_item_passive_supreme_spellshield	wh2_main_item_passive_supreme_spellshield
1	wh2_main_unit_passive_rebirth_buffer	wh2_main_item_passive_the_book_of_the_phoenix
2	wh2_main_item_passive_the_book_of_the_phoenix	wh2_main_item_passive_the_book_of_the_phoenix
1	wh2_main_item_passive_war_drum_of_xahutec	wh2_main_item_passive_war_drum_of_xahutec
1	wh2_main_item_passive_warp_shard_armour	wh2_main_item_passive_warp_shard_armour
1	wh2_main_item_passive_warpstone_armour	wh2_main_item_passive_warpstone_armour
1	wh2_main_lord_abilities_feint_and_reposte	wh2_main_lord_abilities_feint_and_reposte
1	wh2_main_lord_abilities_potion_of_charoi	wh2_main_lord_abilities_potion_of_charoi
1	wh2_main_lord_abilities_sacred_spawning_of_xhotl	wh2_main_lord_abilities_sacred_spawning_of_xhotl
1	wh2_main_lord_abilities_trophy_heads	wh2_main_lord_abilities_trophy_heads
1	wh2_main_lord_passive_enchanting_beauty	wh2_main_lord_passive_enchanting_beauty
1	wh2_main_lord_passive_glamour_of_hoeth	wh2_main_lord_passive_glamour_of_hoeth
1	wh2_main_lord_passive_kindle_the_fury	wh2_main_lord_passive_kindle_the_fury
1	wh2_main_lord_passive_strength_through_spite	wh2_main_lord_passive_strength_through_spite
1	wh2_main_lore_passive_musk_of_fear	wh2_main_lore_passive_musk_of_fear
1	wh2_main_lore_passive_plague_rash	wh2_main_lore_passive_plague_rash
1	wh2_main_lore_passive_shield_of_saphery	wh2_main_lore_passive_shield_of_saphery
1	wh2_main_lore_passive_spiteful_conjuration	wh2_main_lore_passive_spiteful_conjuration
1	wh2_main_mount_abilities_unholy_clamour	wh2_main_mount_abilities_unholy_clamour
1	wh2_main_mount_passive_billowing_death	wh2_main_mount_passive_billowing_death
1	wh2_main_mount_passive_wall_of_unholy_sound	wh2_main_mount_passive_wall_of_unholy_sound
1	wh2_main_spell_bound_black_staff	wh2_main_spell_bound_black_staff
1	wh2_main_spell_bound_embers_of_the_phoenix	wh2_main_spell_bound_embers_of_the_phoenix
1	wh2_main_spell_bound_radiant_gem_of_hoeth	wh2_main_spell_bound_radiant_gem_of_hoeth
1	wh2_main_spell_bound_ring_of_corin	wh2_main_spell_bound_ring_of_corin
1	wh2_main_spell_bound_the_seerstaff_of_saphery	wh2_main_spell_bound_the_seerstaff_of_saphery
1	wh2_main_spell_bound_whip_of_agony	wh2_main_spell_bound_whip_of_agony
1	wh2_main_spell_dark_magic_power_of_darkness	wh2_main_spell_dark_magic_power_of_darkness
1	wh2_main_spell_dark_magic_soul_stealer	wh2_main_spell_dark_magic_soul_stealer
1	wh2_main_spell_dark_magic_word_of_pain	wh2_main_spell_dark_magic_word_of_pain
1	wh2_main_spell_dark_magic_word_of_pain_upgraded	wh2_main_spell_dark_magic_word_of_pain_upgraded
1	wh2_main_spell_high_magic_apotheosis	wh2_main_spell_high_magic_apotheosis
1	wh2_main_spell_high_magic_apotheosis	wh2_main_spell_high_magic_apotheosis_upgraded
1	wh2_main_spell_high_magic_arcane_unforging	wh2_main_spell_high_magic_arcane_unforging
1	wh2_main_spell_high_magic_arcane_unforging_upgraded	wh2_main_spell_high_magic_arcane_unforging_upgraded
1	wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory
1	wh2_main_spell_high_magic_hand_of_glory_upgraded	wh2_main_spell_high_magic_hand_of_glory_upgraded
1	wh2_main_spell_high_magic_tempest	wh2_main_spell_high_magic_tempest
1	wh2_main_spell_high_magic_tempest_upgraded	wh2_main_spell_high_magic_tempest_upgraded
1	wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth
1	wh2_main_spell_plague_bless_with_filth_upgraded	wh2_main_spell_plague_bless_with_filth_upgraded
1	wh2_main_spell_plague_wither	wh2_main_spell_plague_wither
1	wh2_main_spell_plague_wither_upgraded	wh2_main_spell_plague_wither_upgraded
1	wh2_main_spell_ruin_death_frenzy	wh2_main_spell_ruin_death_frenzy
1	wh2_main_spell_ruin_death_frenzy	wh2_main_spell_ruin_death_frenzy_upgraded
1	wh2_main_spell_ruin_howling_warpgale	wh2_main_spell_ruin_howling_warpgale
1	wh2_main_spell_ruin_howling_warpgale_upgraded	wh2_main_spell_ruin_howling_warpgale_upgraded
1	wh2_main_spell_ruin_skitterleap	wh2_main_spell_ruin_skitterleap
1	wh2_main_spell_ruin_skitterleap_upgraded	wh2_main_spell_ruin_skitterleap_upgraded
1	wh2_main_unit_abilities_concealment_bombs	wh2_main_unit_abilities_concealment_bombs
1	wh2_main_unit_abilities_fury_of_khaine	wh2_main_unit_abilities_fury_of_khaine
1	wh2_main_unit_abilities_hidden_blade	wh2_main_unit_abilities_hidden_blade
1	wh2_main_unit_abilities_revivification_crystal	wh2_main_unit_abilities_revivification_crystal
1	wh2_main_unit_passive_snare_net	wh2_main_unit_abilities_snare_net
1	wh2_main_unit_passive_another_takes_its_place	wh2_main_unit_passive_another_takes_its_place
1	wh2_main_unit_passive_attuned_to_magic	wh2_main_unit_passive_attuned_to_magic
1	wh2_main_unit_passive_blizzard_aura	wh2_main_unit_passive_blizzard_aura
1	wh2_main_unit_passive_bloodshield_of_khaine	wh2_main_unit_passive_bloodshield_of_khaine
1	wh2_main_unit_passive_martial_mastery	wh2_main_unit_passive_martial_mastery
1	wh2_main_unit_passive_martial_prowess	wh2_main_unit_passive_martial_prowess
1	wh2_main_unit_passive_primal_instincts	wh2_main_unit_passive_primal_instincts
1	wh2_main_unit_passive_rebirth_buffer	wh2_main_unit_passive_rebirth
2	wh2_main_unit_passive_rebirth	wh2_main_unit_passive_rebirth
1	wh2_main_unit_passive_scurry_away	wh2_main_unit_passive_scurry_away
1	wh2_main_unit_passive_strength_in_numbers	wh2_main_unit_passive_strength_in_numbers
1	wh2_main_unit_passive_rebirth_buffer	wh2_main_unit_passive_too_horrible_to_die
2	wh2_main_unit_passive_too_horrible_to_die	wh2_main_unit_passive_too_horrible_to_die
1	wh2_main_unit_passive_unbinding_clanrats	wh2_main_unit_passive_unbinding_clanrats
1	wh2_main_unit_passive_unbinding_clanrats_small	wh2_main_unit_passive_unbinding_clanrats_small
1	wh2_main_unit_passive_unbinding_great_eagle	wh2_main_unit_passive_unbinding_great_eagle
1	wh2_main_unit_passive_unbinding_plague_monks	wh2_main_unit_passive_unbinding_plague_monks
1	wh2_main_unit_passive_unbinding_skaven_slaves	wh2_main_unit_passive_unbinding_skaven_slaves
1	wh2_main_unit_passive_unbinding_skink_priest	wh2_main_unit_passive_unbinding_skink_priest
1	wh2_main_weapon_abilities_dwarf_gouger	wh2_main_weapon_abilities_dwarf_gouger
1	wh2_main_weapon_abilities_hydra_blade	wh2_main_weapon_abilities_hydra_blade
1	wh2_main_weapon_abilities_sword_of_teclis	wh2_main_weapon_abilities_sword_of_teclis
1	wh2_main_weapon_abilities_web_of_shadows	wh2_main_weapon_abilities_web_of_shadows
1	wh2_main_weapon_bound_winged_staff	wh2_main_weapon_bound_winged_staff
1	wh2_main_weapon_passive_chillblade	wh2_main_weapon_passive_chillblade
1	wh2_main_weapon_passive_destroyer	wh2_main_weapon_passive_destroyer
1	wh2_main_weapon_passive_heartrender_and_the_darksword	wh2_main_weapon_passive_heartrender_and_the_darksword
1	wh_dlc01_banner_passive_blasted_standard	wh_dlc01_banner_passive_blasted_standard
1	wh_dlc01_item_passive_helm_of_many_eyes	wh_dlc01_item_passive_helm_of_many_eyes
1	wh_dlc01_item_passive_the_crown_of_domination	wh_dlc01_item_passive_the_crown_of_domination
1	wh_dlc01_unit_passive_unbinding_chaos_spawn	wh_dlc01_unit_passive_unbinding_chaos_spawn
1	wh_dlc01_weapon_abilities_starcrusher	wh_dlc01_weapon_abilities_starcrusher
1	wh_dlc01_weapon_abilities_sword_of_change	wh_dlc01_weapon_abilities_sword_of_change
1	wh_dlc01_weapon_abilities_the_slayer_of_kings	wh_dlc01_weapon_abilities_the_slayer_of_kings
1	wh_dlc01_weapon_passive_auric_armour	wh_dlc01_weapon_passive_auric_armour
1	wh_dlc02_unit_passive_the_flag_of_blood_keep	wh_dlc02_unit_passive_the_flag_of_blood_keep
1	wh_dlc03_banner_passive_manbane_standard	wh_dlc03_banner_passive_manbane_standard
1	wh_dlc03_banner_passive_slug_skin	wh_dlc03_banner_passive_slug_skin
1	wh_dlc03_banner_passive_totem_of_rust	wh_dlc03_banner_passive_totem_of_rust
1	wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_character_abilities_apocalyptic_vision
1	wh_main_character_abilities_blood_lust	wh_dlc03_character_abilities_blood_lust
1	wh_dlc03_character_abilities_call_of_violence	wh_dlc03_character_abilities_call_of_violence
1	wh_main_character_abilities_deadly_onslaught	wh_dlc03_character_abilities_deadly_onslaught
1	wh_main_character_abilities_foe_seeker	wh_dlc03_character_abilities_foe_seeker
1	wh_dlc03_hero_passive_something_wicked_this_way_comes	wh_dlc03_hero_passive_something_wicked_this_way_comes
1	wh_dlc03_hero_passive_strength_of_the_land_i	wh_dlc03_hero_passive_strength_of_the_land_i
1	wh_dlc03_hero_passive_strength_of_the_land_ii	wh_dlc03_hero_passive_strength_of_the_land_ii
1	wh_dlc03_hero_passive_strength_of_the_land_iii	wh_dlc03_hero_passive_strength_of_the_land_iii
1	wh_dlc03_hero_passive_strength_of_the_land_iv	wh_dlc03_hero_passive_strength_of_the_land_iv
1	wh_dlc03_hero_passive_the_unrelenting_warherd_i	wh_dlc03_hero_passive_the_unrelenting_warherd_i
1	wh_dlc03_hero_passive_the_unrelenting_warherd_ii	wh_dlc03_hero_passive_the_unrelenting_warherd_ii
1	wh_dlc03_hero_passive_the_unrelenting_warherd_iii	wh_dlc03_hero_passive_the_unrelenting_warherd_iii
1	wh_dlc03_hero_passive_the_unrelenting_warherd_iv	wh_dlc03_hero_passive_the_unrelenting_warherd_iv
1	wh_dlc03_hero_passive_unholy_power	wh_dlc03_hero_passive_unholy_power
1	wh_dlc03_item_abilities_chalice_of_dark_rain	wh_dlc03_item_abilities_chalice_of_dark_rain
1	wh_dlc03_item_abilities_hagtree_fetish	wh_dlc03_item_abilities_hagtree_fetish
1	wh_dlc03_item_abilities_horn_of_the_first_beast	wh_dlc03_item_abilities_horn_of_the_first_beast
1	wh_dlc03_item_abilities_jagged_dagger	wh_dlc03_item_abilities_jagged_dagger
1	wh_dlc03_item_abilities_skull_of_rarkos	wh_dlc03_item_abilities_skull_of_rarkos
1	wh_dlc03_item_passive_banner_of_the_fallen_king	wh_dlc03_item_passive_banner_of_the_fallen_kings
1	wh_dlc03_item_passive_blackened_plate	wh_dlc03_item_passive_blackened_plate
1	wh_dlc03_item_passive_icon_of_vilification	wh_dlc03_item_passive_icon_of_vilification
1	wh_dlc03_item_passive_shard_of_the_herdstone	wh_dlc03_item_passive_shard_of_the_herdstone
1	wh_dlc03_item_passive_the_dark_mail	wh_dlc03_item_passive_the_dark_mail
1	wh_dlc03_item_passive_trollhide	wh_dlc03_item_passive_trollhide
1	wh_dlc03_lord_passive_crush_the_weak	wh_dlc03_lord_passive_crush_the_weak
1	wh_dlc03_lore_passive_bestial_surge	wh_dlc03_lore_passive_bestial_surge
1	wh_dlc03_lore_passive_wild_heart	wh_dlc03_lore_passive_wild_heart
1	wh_dlc03_quest_passive_poisoning	wh_dlc03_quest_passive_poisoning
1	wh_dlc03_spell_beasts_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom
1	wh_dlc03_spell_beasts_flock_of_doom_upgraded	wh_dlc03_spell_beasts_flock_of_doom_upgraded
1	wh_dlc03_spell_beasts_panns_impenetrable_pelt	wh_dlc03_spell_beasts_panns_impenetrable_pelt
1	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded
1	wh_dlc03_spell_beasts_the_curse_of_anraheir	wh_dlc03_spell_beasts_the_curse_of_anraheir
