technology_required_building_levels_junctions_tables
0
unknown0	unknown1
tech_dlc05_1_kurnous	wh_dlc05_wef_temple_kurnous_1
tech_dlc05_2_ereth_khial	wh_dlc05_wef_temple_ereth_khial_1
tech_emp_academy_1	wh2_main_emp_academy_1
tech_emp_academy_2	wh2_main_emp_academy_1
tech_emp_academy_3	wh2_main_emp_academy_1
tech_emp_barracks_1	wh_main_emp_barracks_2
tech_emp_barracks_2	wh_main_emp_barracks_2
tech_emp_barracks_3	wh_main_emp_barracks_2
tech_emp_barracks_4	wh_main_emp_barracks_3
tech_emp_barracks_5	wh_main_emp_barracks_3
tech_emp_barracks_6	wh_main_emp_barracks_3
tech_emp_forges_1	wh_main_emp_forges_2
tech_emp_forges_2	wh_main_emp_forges_2
tech_emp_forges_3	wh_main_emp_forges_2
tech_emp_forges_4	wh_main_emp_forges_3
tech_emp_forges_5	wh_main_emp_forges_3
tech_emp_forges_6	wh_main_emp_forges_3
tech_emp_port_1	wh_main_emp_port_2
tech_emp_port_2	wh_main_emp_port_2
tech_emp_port_3	wh_main_emp_port_2
tech_emp_smith_1	wh_main_emp_smiths_1
tech_emp_smith_2	wh_main_emp_smiths_1
tech_emp_smith_3	wh_main_emp_smiths_1
tech_emp_smith_4	wh_main_emp_smiths_2
tech_emp_smith_5	wh_main_emp_smiths_2
tech_emp_smith_6	wh_main_emp_smiths_2
tech_emp_stables_1	wh_main_emp_stables_2
tech_emp_stables_2	wh_main_emp_stables_2
tech_emp_stables_3	wh_main_emp_stables_2
tech_emp_stables_4	wh_main_emp_stables_3
tech_emp_stables_5	wh_main_emp_stables_3
tech_emp_stables_6	wh_main_emp_stables_3
tech_emp_worship_1	wh_main_emp_worship_2
tech_emp_worship_2	wh_main_emp_worship_2
tech_emp_worship_3	wh_main_emp_worship_2
tech_grn_main_1_2	wh_main_grn_workshop_1
tech_grn_main_1_3	wh_main_grn_workshop_1
tech_grn_main_1_4	wh_main_grn_workshop_1
tech_grn_main_2_1	wh_main_grn_workshop_2
tech_grn_main_2_2	wh_main_grn_workshop_2
tech_grn_main_2_3	wh_main_grn_workshop_2
tech_grn_main_3_1	wh_main_grn_workshop_2
tech_grn_main_3_2	wh_main_grn_workshop_2
tech_grn_main_3_3	wh_main_grn_workshop_2
tech_grn_main_4_1	wh_main_grn_workshop_2
tech_grn_main_squigs	wh_main_grn_workshop_1
tech_grn_side_1_1_1	wh_main_grn_workshop_1
tech_grn_side_1_1_2	wh_main_grn_workshop_1
tech_grn_side_1_2_1	wh_main_grn_workshop_1
tech_grn_side_1_2_2	wh_main_grn_workshop_1
tech_grn_side_1_3_1	wh_main_grn_workshop_1
tech_grn_side_1_3_2	wh_main_grn_workshop_1
tech_grn_side_2_1_1	wh_main_grn_workshop_2
tech_grn_side_2_2_1	wh_main_grn_workshop_2
tech_grn_side_2_3_1	wh_main_grn_workshop_2
tech_grn_side_3_1_1	wh_main_grn_workshop_2
tech_grn_side_3_2_1	wh_main_grn_workshop_2
tech_grn_side_3_3_1	wh_main_grn_workshop_2
tech_grn_side_4_1_1	wh_main_grn_workshop_2
tech_grn_unlock_arachnarok	wh_main_grn_workshop_2
tech_grn_unlock_doomdiver	wh_main_grn_workshop_2
tech_grn_unlock_rocklobber	wh_main_grn_workshop_2
tech_grn_unlock_siegeengines	wh_main_grn_workshop_2
tech_hef_0_00	wh2_main_hef_barracks_2
tech_hef_1_00	wh2_main_hef_mages_1
tech_hef_2_00	wh2_main_hef_mages_2
tech_hef_2_00	wh2_main_hef_smith_2
tech_hef_3_00	wh2_main_hef_dragons_2
tech_hef_3_00	wh2_main_hef_mages_3
tech_hef_4_00	wh2_main_hef_embassy_1
tech_hef_4_01	wh2_main_hef_resource_pasture_3
tech_hef_4_02	wh2_main_hef_resource_animals_3
tech_hef_4_03	wh2_main_hef_resource_iron_3
tech_hef_4_04	wh2_main_hef_resource_gems_3
tech_hef_4_05	wh2_main_hef_resource_marble_3
tech_hef_4_06	wh2_main_hef_resource_medicine_3
tech_hef_4_07	wh2_main_hef_resource_wood_3
tech_hef_4_08	wh2_main_hef_resource_spices_3
tech_hef_4_09	wh2_main_hef_resource_salt_3
tech_hef_4_10	wh2_main_hef_resource_wine_3
tech_hef_4_11	wh2_main_hef_resource_dyes_3
tech_hef_4_12	wh2_main_hef_resource_pottery_3
tech_hef_5_00	wh2_main_hef_court_2
tech_hef_5_00	wh2_main_hef_worship_1
tech_lzd_0_1	wh2_main_lzd_energy_3
tech_lzd_0_1	wh2_main_lzd_scrying_1
tech_lzd_0_1	wh2_main_lzd_worship_oldones_1
tech_lzd_0_2	wh2_main_lzd_energy_5
tech_lzd_0_2	wh2_main_lzd_saurus_3
tech_lzd_0_2	wh2_main_lzd_slann_1
tech_lzd_0_2	wh2_main_lzd_smith_1
tech_lzd_0_2	wh2_main_lzd_worship_oldones_3
tech_lzd_1_1	wh2_main_lzd_farm_1
tech_lzd_2_1	wh2_main_lzd_energy_1
tech_lzd_3_1	wh2_main_lzd_scrying_1
tech_lzd_4_1	wh2_main_lzd_order_2
tech_lzd_5_1	wh2_main_lzd_industry_2
tech_lzd_6_1	wh2_main_lzd_skinks_2
tech_lzd_7_1	wh2_main_lzd_saurus_2
tech_lzd_8_1	wh2_main_lzd_beasts_1
tech_skv_1_0	wh2_main_skv_clanrats_3
tech_skv_2_0	wh2_main_skv_order_2
tech_skv_3_0	wh2_main_skv_assassins_2
tech_skv_4_0	wh2_main_skv_monsters_1
tech_skv_5_0	wh2_main_skv_plagues_2
tech_skv_6_0	wh2_main_skv_weaponteams_1
tech_skv_7_0	wh2_main_skv_engineers_2
tech_skv_8_0	wh2_main_skv_temple_1
tech_skv_9_0	wh2_main_skv_energy_5
