ui_unit_groupings_tables
1
icon	key	parent_group
wh_main_brt_champion	brt_paladin	heroes_agents
wh_main_brt_champion	brt_paladin_cavalry	heroes_agents
wh_main_brt_champion	brt_paladin_pegasus	heroes_agents
cannon	cannon	artillery_war_machines
catapult	catapult	artillery_war_machines
cavalry	cavalry	cavalry_chariots
cavalry_flying	cavalry_flying	monster_beasts
cavalry_flying	cavalry_flying_rare	rare_monsters_beasts
cavalry_spider	cavalry_spider	cavalry_chariots
cavalry_wolf	cavalry_wolf	cavalry_chariots
chariot	chariot	cavalry_chariots
chs_shaggoth	chs_dragon_ogre_shaggoth	rare_monsters_beasts
chs_shaggoth	chs_dragon_ogres	monster_beasts
wh_main_chs_champion	chs_exalted_hero	heroes_agents
wh_main_chs_champion	chs_exalted_hero_cavalry	heroes_agents
wh_main_chs_champion	chs_exalted_hero_manticore	heroes_agents
dragon	dragon	rare_monsters_beasts
dwf_gyrocopter	dwf_gyrocopter	flying_war_machine
dwf_irondrakes	dwf_irondrakes	missile_infantry
dwf_irondrakes_torpedo	dwf_irondrakes_torpedo	missile_infantry
wh_main_dwf_master_engineer	dwf_master_engineer	heroes_agents
wh_main_dwf_runesmith	dwf_runesmith	heroes_agents
wh_main_dwf_champion	dwf_thane	heroes_agents
wh_main_emp_champion	emp_captain	heroes_agents
wh_main_emp_champion	emp_captain_cavalry	heroes_agents
wh_main_emp_champion	emp_captain_pegasus	heroes_agents
emp_rocket_battery	emp_rocket_battery	artillery_war_machines
emp_steam_tank	emp_steam_tank	artillery_war_machines
wh_main_emp_dignitary	emp_warrior_priest	heroes_agents
wh_main_emp_dignitary	emp_warrior_priest_cavalry	heroes_agents
wh_main_emp_spy	emp_witch_hunter	heroes_agents
field_gun	field_gun	artillery_war_machines
flame_cannon	field_gun_flame	artillery_war_machines
giant	giant	rare_monsters_beasts
grn_arachnarok	grn_arachnarok	rare_monsters_beasts
grn_doomdiver	grn_doomdiver	artillery_war_machines
wh_main_grn_spy	grn_goblin_bigboss	heroes_agents
wh_main_grn_spy	grn_goblin_bigboss_cavalry	heroes_agents
infantry_axe	hero_infantry_axe	heroes_agents
infantry_axe	infantry_axe	infantry
infantry_axe_great	infantry_axe_great	infantry
wh_dlc06_dwf_throwing_axe	infantry_axe_throwing	missile_infantry
infantry_hammer_great	infantry_hammer_great	infantry
infantry_pickaxe	infantry_pickaxe	infantry
infantry_spear	infantry_spear	infantry
infantry_spear_halberd	infantry_spear_halberd	infantry
infantry_sword	infantry_sword	infantry
infantry_sword_great	infantry_sword_great	infantry
cavalry	lord_cavalry	commander
cavalry_flying	lord_cavalry_flying	commander
cavalry_wolf	lord_cavalry_wolf	commander
chariot	lord_chariot	commander
chs_shaggoth	lord_chs_kholek	commander
dragon	lord_dragon	commander
infantry_spear_halberd	lord_halberd	commander
infantry_axe	lord_infantry_axe	commander
infantry_axe_great	lord_infantry_axe_great	commander
infantry_hammer_great	lord_infantry_hammer_great	commander
wh_main_lore_metal	lord_infantry_lord_of_change	commander
infantry_sword	lord_infantry_sword	commander
wh_dlc03_lore_beasts	lord_wizard_beasts	commander
wh_main_lore_big_waaagh	lord_wizard_big_waaagh	commander
wh_main_lore_death	lord_wizard_death	commander
wh_main_lore_fire	lord_wizard_fire	commander
wh_main_lore_heavens	lord_wizard_heavens	commander
wh_dlc05_wef_lore_life	lord_wizard_life	commander
wh_main_lore_light	lord_wizard_light	commander
wh_main_lore_lil_waaagh	lord_wizard_lil_waaagh	commander
wh_main_lore_metal	lord_wizard_metal	commander
