ui_unit_statuses_tables
0
unknown0	unknown1	unknown2
ui/skins/default/icon_status_capture_point.png	capturing	12
ui/skins/default/icon_status_firing.png	firing	13
ui/skins/default/icon_status_hidden.png	hidden	10
ui/skins/default/icon_status_melee.png	melee	7
ui/skins/default/icon_status_walk.png	moving	8
ui/skins/default/icon_status_run.png	moving_fast	9
ui/skins/default/icon_status_obstructed.png	obstructed	14
ui/skins/default/status_on_fire.png	on_fire	18
ui/skins/default/icon_status_route.png	routing	20
ui/skins/default/icon_status_shaken.png	shaken	22
ui/skins/default/icon_status_shattered.png	shattered	23
ui/skins/default/icon_status_under_fire.png	taking_fire	15
ui/skins/default/icon_status_fight_to_death.png	terrified	21
ui/skins/default/icon_status_rampage.png	unorderable	11
ui/skins/default/icon_status_wavering.png	wavering	18
ui/skins/default/icon_status_withdraw.png	withdraw	17
