unit_porthole_camera_settings_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
1	28	bret_fay_enchantress	180	200	-0.1	1.48	0	Porthole/advisor/default_porthole.lighting
2.9	28	bst_centigor_40_degrees	180	210	-0.95	2.1	0	Porthole/advisor/default_porthole.lighting
6	28	bst_cygor	210	190	-1.2	8.2	0	Porthole/advisor/default_porthole.lighting
0.8999999	28	bst_general	190	195	-0.06	1.75	0	Porthole/advisor/default_porthole.lighting
0.8999999	28	bst_gor_15	180	195	-0.06	1.7	0	Porthole/advisor/default_porthole.lighting
0.92	28	bst_gor_30	180	210	-0.13	1.7	0	Porthole/advisor/default_porthole.lighting
1.7	28	bst_gorebull	190	195	-0.17	2.5	0	Porthole/advisor/default_porthole.lighting
5.4	28	bst_manticore	170	190	-0.5	0.6	0	Porthole/advisor/default_porthole.lighting
1.7	28	bst_minotaur_15	190	195	-0.2	2.5	0	Porthole/advisor/default_porthole.lighting
1.7	28	bst_minotaur_25	190	205	-0.3	2.5	0	Porthole/advisor/default_porthole.lighting
0.8999999	28	bst_morghur	180	200	-0.1	1.7	0	Porthole/advisor/default_porthole.lighting
3.5	28	bst_razorgor_herd	190	210	-0.8999999	1.1	0	Porthole/advisor/default_porthole.lighting
0.8	28	bst_ungor_15	180	195	-0.03	1.4	0	Porthole/advisor/default_porthole.lighting
0.8	28	bst_ungor_30	180	210	-0.08000001	1.4	0	Porthole/advisor/default_porthole.lighting
8	28	chaos_chariot	150	230	0	1	0	Porthole/advisor/default_porthole.lighting
3.3	28	chaos_dragon_ogre	190	200	-0.5	3.7	0	Porthole/advisor/default_porthole.lighting
8	28	chaos_gorebeast_chariot	150	230	0	1	0	Porthole/advisor/default_porthole.lighting
3.5	28	chaos_kholek_suneater	190	200	-0.5199999	3.72	0	Porthole/advisor/default_porthole.lighting
1	28	chaos_lord	190	195	0.1	1.62	0	Porthole/advisor/default_porthole.lighting
5	28	chaos_spawn	190	220	-1	3	0	Porthole/advisor/default_porthole.lighting
