unit_special_abilities_tables
45
key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	-	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_1	target_ground_2	miscast_global_	target_self
wh2_main_army_abilities_bloodwrack_cauldron	7	135	3	0	False	0	0	False	135		False	True	True	-1		False	0	False	4000	0	wh2_main_army_abilities_bloodwrack_cauldron			0	0	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment_active			0		aoe_bombardment	wh_group_unit		vo_battle_special_ability_black_ark	0	240				False	False	True	False
wh2_main_army_abilities_bolt_of_spite	7	135	3	0	False	0	0	False	135		False	True	False	-1		False	0	False	4019	0	wh2_main_army_abilities_bolt_of_spite			0	0	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment_active			0		projectile_large_explosive	wh_group_unit		vo_battle_special_ability_black_ark	0	240				False	False	True	False
wh2_main_army_abilities_brazen_cauldron	7	90	3	0	False	0	0	False	90		False	True	True	-1		False	0	False	3992	0	wh2_main_army_abilities_brazen_cauldron			0	0	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment_active			0		aoe_bombardment	wh_group_unit		vo_battle_special_ability_black_ark	0	160				False	False	True	False
wh2_main_army_abilities_channeling_spire	67	45	3	40	False	5	0	True	30		False	False	True	-1		False	1	False	1284689169	0				0	0	wh_army_abilities_generic_buff_wom	wh_army_abilities_generic_buff_wom	wh2_main_army_abilities_channeling_spire			0		augment_spellcasting	wh_group_character_targeting		vo_battle_special_ability_generic_response	25	50				True	False	True	False
wh2_main_army_abilities_dark_conduit	27	135	3	0	False	0	0	False	90		True	False	False	-1		False	0	False	648954790	0				0	0	wh_army_abilities_generic_explosion				wh2_main_army_abilities_dark_conduit	0		augment_melee	wh_group_unit		vo_battle_special_ability_generic_response	119	119				False	False	True	False
wh2_main_army_abilities_eagle_sanctuary	1	135	3	0	False	0	0	False	90		True	False	True	-1		False	1	False	1613584312	0		wh2_main_hef_mon_great_eagle_summoned		0	0						0		threatened	wh_group_rune		vo_battle_special_ability_generic_response	122	122			wh_main_targeting_pre_spawn_solo_flying_ui_central	False	False	True	False
wh2_main_army_abilities_eshin_clanstone	22	135	3	40	False	0	-1	True	90		False	False	True	-1		False	0	False	1569130502	0				0	0	wh_army_abilities_generic_direct_damage	wh_army_abilities_generic_direct_damage	wh2_main_army_abilities_eshin_clanstone			0		hex_ranged	wh_group_unit		vo_battle_special_ability_generic_response	0	238				False	True	True	False
wh2_main_army_abilities_feral_cold_ones	1	135	3	0	False	0	0	False	90		False	True	True	-1		False	1	False	1112955567	0		wh2_main_lzd_cav_cold_ones_feral_0_summoned		0	0			wh2_main_army_abilities_feral_cold_ones			0		hex_ranged	wh_group_rune		vo_battle_special_ability_generic_response	121	121			wh_main_targeting_pre_spawn_solo_ui_central	False	False	True	False
wh2_main_army_abilities_geomantic_nexus	1	90	2	0	False	0	0	False	60		True	False	True	-1		False	1	False	1485396600	0		wh2_main_lzd_cha_skink_priest_0_summoned		0	0			wh2_main_army_abilities_geomantic_nexus			0		augment_spellcasting	wh_group_unit		vo_battle_special_ability_generic_response	82	82			wh_main_targeting_pre_spawn_solo_ui_central	False	False	True	False
wh2_main_army_abilities_holy_stela	57	45	3	40	False	0	-1	True	30		False	False	True	-1		False	0	False	1037849602	0				0	0	wh_army_abilities_generic_hex	wh_army_abilities_generic_hex	wh2_main_army_abilities_holy_stela			0		hex_ranged	wh_group_unit		vo_battle_special_ability_generic_response	21	82				False	True	True	False
