unit_to_unit_list_junctions_tables
0
unit	unit_list
wh2_main_def_cav_dark_riders_0	wh2_main_ritual_intervention_1_def
wh2_main_def_inf_bleakswords_0	wh2_main_ritual_intervention_1_def
wh2_main_def_inf_darkshards_0	wh2_main_ritual_intervention_1_def
wh2_main_def_inf_dreadspears_0	wh2_main_ritual_intervention_1_def
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_ritual_intervention_1_hef
wh2_main_hef_cav_ellyrian_reavers_0	wh2_main_ritual_intervention_1_hef
wh2_main_hef_cav_ellyrian_reavers_1	wh2_main_ritual_intervention_1_hef
wh2_main_hef_inf_archers_0	wh2_main_ritual_intervention_1_hef
wh2_main_hef_inf_spearmen_0	wh2_main_ritual_intervention_1_hef
wh2_main_lzd_inf_saurus_spearmen_0	wh2_main_ritual_intervention_1_lzd
wh2_main_lzd_inf_skink_cohort_0	wh2_main_ritual_intervention_1_lzd
wh2_main_lzd_inf_skink_cohort_1	wh2_main_ritual_intervention_1_lzd
wh2_main_lzd_inf_skink_skirmishers_0	wh2_main_ritual_intervention_1_lzd
wh2_main_skv_inf_clanrat_spearmen_0	wh2_main_ritual_intervention_1_skv
wh2_main_skv_inf_clanrat_spearmen_1	wh2_main_ritual_intervention_1_skv
wh2_main_skv_inf_clanrats_0	wh2_main_ritual_intervention_1_skv
wh2_main_skv_inf_clanrats_1	wh2_main_ritual_intervention_1_skv
wh2_main_skv_inf_night_runners_0	wh2_main_ritual_intervention_1_skv
wh2_main_skv_inf_night_runners_1	wh2_main_ritual_intervention_1_skv
wh2_main_def_art_reaper_bolt_thrower	wh2_main_ritual_intervention_2_def
wh2_main_def_cav_dark_riders_1	wh2_main_ritual_intervention_2_def
wh2_main_def_inf_black_ark_corsairs_0	wh2_main_ritual_intervention_2_def
wh2_main_def_inf_black_ark_corsairs_1	wh2_main_ritual_intervention_2_def
wh2_main_def_inf_harpies	wh2_main_ritual_intervention_2_def
wh2_main_def_inf_shades_0	wh2_main_ritual_intervention_2_def
wh2_main_def_inf_witch_elves_0	wh2_main_ritual_intervention_2_def
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_ritual_intervention_2_hef
wh2_main_hef_cav_ellyrian_reavers_1	wh2_main_ritual_intervention_2_hef
wh2_main_hef_cav_silver_helms_0	wh2_main_ritual_intervention_2_hef
wh2_main_hef_inf_archers_1	wh2_main_ritual_intervention_2_hef
wh2_main_hef_inf_lothern_sea_guard_0	wh2_main_ritual_intervention_2_hef
wh2_main_hef_inf_swordmasters_of_hoeth_0	wh2_main_ritual_intervention_2_hef
wh2_main_hef_inf_white_lions_of_chrace_0	wh2_main_ritual_intervention_2_hef
wh2_main_lzd_cav_cold_ones_1	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_cav_terradon_riders_0	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_inf_chameleon_skinks_0	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_inf_saurus_spearmen_0	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_inf_saurus_spearmen_1	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_inf_saurus_warriors_0	wh2_main_ritual_intervention_2_lzd
wh2_main_lzd_inf_saurus_warriors_1	wh2_main_ritual_intervention_2_lzd
wh2_main_skv_art_plagueclaw_catapult	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_clanrat_spearmen_1	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_clanrats_1	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_gutter_runner_slingers_0	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_gutter_runner_slingers_1	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_gutter_runners_0	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_gutter_runners_1	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_plague_monks	wh2_main_ritual_intervention_2_skv
wh2_main_skv_inf_warpfire_thrower	wh2_main_ritual_intervention_2_skv
wh2_main_skv_mon_rat_ogres	wh2_main_ritual_intervention_2_skv
wh2_main_def_art_reaper_bolt_thrower	wh2_main_ritual_intervention_3_def
wh2_main_def_cav_cold_one_chariot	wh2_main_ritual_intervention_3_def
wh2_main_def_cav_cold_one_knights_0	wh2_main_ritual_intervention_3_def
wh2_main_def_cav_cold_one_knights_1	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_black_guard_0	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_har_ganeth_executioners_0	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_harpies	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_shades_1	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_shades_2	wh2_main_ritual_intervention_3_def
wh2_main_def_inf_witch_elves_0	wh2_main_ritual_intervention_3_def
wh2_main_def_mon_black_dragon	wh2_main_ritual_intervention_3_def
wh2_main_def_mon_war_hydra	wh2_main_ritual_intervention_3_def
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_ritual_intervention_3_hef
wh2_main_hef_cav_dragon_princes	wh2_main_ritual_intervention_3_hef
wh2_main_hef_cav_ithilmar_chariot	wh2_main_ritual_intervention_3_hef
wh2_main_hef_inf_lothern_sea_guard_1	wh2_main_ritual_intervention_3_hef
wh2_main_hef_inf_phoenix_guard	wh2_main_ritual_intervention_3_hef
wh2_main_hef_mon_great_eagle	wh2_main_ritual_intervention_3_hef
wh2_main_hef_mon_star_dragon	wh2_main_ritual_intervention_3_hef
wh2_main_hef_mon_sun_dragon	wh2_main_ritual_intervention_3_hef
wh2_main_lzd_cav_horned_ones_0	wh2_main_ritual_intervention_3_lzd
wh2_main_lzd_inf_chameleon_skinks_0	wh2_main_ritual_intervention_3_lzd
wh2_main_lzd_inf_temple_guards	wh2_main_ritual_intervention_3_lzd
wh2_main_lzd_mon_bastiladon_2	wh2_main_ritual_intervention_3_lzd
wh2_main_lzd_mon_kroxigors	wh2_main_ritual_intervention_3_lzd
wh2_main_lzd_mon_stegadon_1	wh2_main_ritual_intervention_3_lzd
wh2_main_skv_art_warp_lightning_cannon	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_death_globe_bombardiers	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_death_runners_0	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_plague_monk_censer_bearer	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_poison_wind_globadiers	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_stormvermin_0	wh2_main_ritual_intervention_3_skv
wh2_main_skv_inf_stormvermin_1	wh2_main_ritual_intervention_3_skv
wh2_main_skv_mon_hell_pit_abomination	wh2_main_ritual_intervention_3_skv
wh2_main_skv_mon_rat_ogres	wh2_main_ritual_intervention_3_skv
wh2_main_skv_veh_doomwheel	wh2_main_ritual_intervention_3_skv
wh2_main_lzd_mon_bastiladon_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_carnosaur_0	wh2_main_ritual_lzd_primeval_glory
