unit_variants_colours_tables
2
faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	unknown11	unknown12	unknown13
wh_main_brt_bretonnia	18	16	137	136	43	38	soldier	0	0	0	0	0	wh_main_brt_cav_grail_knights
wh_main_brt_bretonnia	136	64	29	243	243	243	soldier	0	0	0	100	0	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10004	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1001	0	wh_main_brt_cav_grail_knights
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10011	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10021	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10027	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10028	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1003	0	wh_main_brt_cav_grail_knights
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10035	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10038	0	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10046	0	wh_main_brt_cha_lord_0
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10047	0	wh_main_brt_cha_lord_0
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10048	0	wh_main_brt_cha_lord_0
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10050	0	wh_main_brt_cha_lord_0
