units_to_groupings_military_permissions_tables
0
unit	military_group
wh2_main_def_art_reaper_bolt_thrower	wh2_main_def
wh2_main_def_art_reaper_bolt_thrower	wh2_main_rogue_mengils_manflayers
wh2_main_def_art_reaper_bolt_thrower	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cav_cold_one_chariot	wh2_main_def
wh2_main_def_cav_cold_one_chariot	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cav_cold_one_knights_0	wh2_main_def
wh2_main_def_cav_cold_one_knights_0	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cav_cold_one_knights_1	wh2_main_def
wh2_main_def_cav_cold_one_knights_1	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cav_dark_riders_0	wh2_main_def
wh2_main_def_cav_dark_riders_1	wh2_main_def
wh2_main_def_cav_dark_riders_1	wh2_main_rogue_mengils_manflayers
wh2_main_def_cav_dark_riders_2	wh2_main_def
wh2_main_def_cha_death_hag_0	wh2_main_def
wh2_main_def_cha_dreadlord_0	wh2_main_def
wh2_main_def_cha_dreadlord_0	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_0	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_1	wh2_main_def
wh2_main_def_cha_dreadlord_1	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_1	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_2	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_2	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_4	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_4	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_5	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_5	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_female_0	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_female_0	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_female_1	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_female_1	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_female_2	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_female_2	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_female_4	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_female_4	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_dreadlord_female_5	wh2_main_rogue_mengils_manflayers
wh2_main_def_cha_dreadlord_female_5	wh2_main_rogue_vashnaars_conquest
wh2_main_def_cha_khainite_assassin_0	wh2_main_def
wh2_main_def_cha_malekith_0	wh2_main_def
wh2_main_def_cha_sorceress_dark_0	wh2_main_def
wh2_main_def_cha_sorceress_dark_1	wh2_main_def
wh2_main_def_inf_black_ark_corsairs_0	wh2_main_def
wh2_main_def_inf_black_ark_corsairs_0	wh2_main_rogue_mengils_manflayers
wh2_main_def_inf_black_ark_corsairs_1	wh2_main_def
wh2_main_def_inf_black_ark_corsairs_1	wh2_main_rogue_mengils_manflayers
wh2_main_def_inf_black_guard_0	wh2_main_def
wh2_main_def_inf_bleakswords_0	wh2_main_def
wh2_main_def_inf_darkshards_0	wh2_main_def
wh2_main_def_inf_darkshards_1	wh2_main_def
wh2_main_def_inf_darkshards_1	wh2_main_rogue_vashnaars_conquest
wh2_main_def_inf_dreadspears_0	wh2_main_def
wh2_main_def_inf_har_ganeth_executioners_0	wh2_main_def
wh2_main_def_inf_harpies	wh2_main_def
wh2_main_def_inf_shades_0	wh2_main_def
wh2_main_def_inf_shades_1	wh2_main_def
wh2_main_def_inf_shades_1	wh2_main_rogue_mengils_manflayers
wh2_main_def_inf_shades_2	wh2_main_def
wh2_main_def_inf_shades_2	wh2_main_rogue_mengils_manflayers
wh2_main_def_inf_witch_elves_0	wh2_main_def
wh2_main_def_mon_black_dragon	wh2_main_def
wh2_main_def_mon_black_dragon	wh2_main_rogue_vashnaars_conquest
wh2_main_def_mon_war_hydra	wh2_main_def
wh2_main_def_mon_war_hydra	wh2_main_rogue_beastcatchas
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_hef
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_rogue_tor_elithis
wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_rogue_vauls_expedition
wh2_main_hef_cav_dragon_princes	wh2_main_hef
wh2_main_hef_cav_dragon_princes	wh2_main_rogue_tor_elithis
wh2_main_hef_cav_ellyrian_reavers_0	wh2_main_hef
wh2_main_hef_cav_ellyrian_reavers_0	wh2_main_rogue_tor_elithis
wh2_main_hef_cav_ellyrian_reavers_0	wh2_main_rogue_vauls_expedition
wh2_main_hef_cav_ellyrian_reavers_1	wh2_main_hef
wh2_main_hef_cav_ellyrian_reavers_1	wh2_main_rogue_tor_elithis
wh2_main_hef_cav_ithilmar_chariot	wh2_main_hef
wh2_main_hef_cav_silver_helms_0	wh2_main_hef
wh2_main_hef_cav_silver_helms_1	wh2_main_hef
wh2_main_hef_cav_tiranoc_chariot	wh2_main_hef
wh2_main_hef_cha_loremaster_of_hoeth_0	wh2_main_hef
wh2_main_hef_cha_mage_high_0	wh2_main_hef
wh2_main_hef_cha_mage_high_1	wh2_main_hef
wh2_main_hef_cha_noble_0	wh2_main_hef
wh2_main_hef_cha_prince_0	wh2_main_hef
wh2_main_hef_cha_prince_0	wh2_main_rogue_tor_elithis
wh2_main_hef_cha_prince_0	wh2_main_rogue_vauls_expedition
wh2_main_hef_cha_prince_2	wh2_main_hef
wh2_main_hef_cha_prince_2	wh2_main_rogue_tor_elithis
wh2_main_hef_cha_prince_2	wh2_main_rogue_vauls_expedition
wh2_main_hef_cha_prince_3	wh2_main_rogue_tor_elithis
wh2_main_hef_cha_prince_3	wh2_main_rogue_vauls_expedition
wh2_main_hef_cha_prince_4	wh2_main_rogue_tor_elithis
wh2_main_hef_cha_prince_4	wh2_main_rogue_vauls_expedition
wh2_main_hef_cha_teclis_0	wh2_main_hef
wh2_main_hef_cha_tyrion_1	wh2_main_hef
wh2_main_hef_inf_archers_0	wh2_main_hef
wh2_main_hef_inf_archers_0	wh2_main_rogue_tor_elithis
wh2_main_hef_inf_archers_0	wh2_main_rogue_vauls_expedition
wh2_main_hef_inf_archers_1	wh2_main_hef
wh2_main_hef_inf_archers_1	wh2_main_rogue_tor_elithis
wh2_main_hef_inf_gate_guard	wh2_main_hef
wh2_main_hef_inf_lothern_sea_guard_0	wh2_main_hef
wh2_main_hef_inf_lothern_sea_guard_0	wh2_main_rogue_tor_elithis
wh2_main_hef_inf_lothern_sea_guard_1	wh2_main_hef
wh2_main_hef_inf_lothern_sea_guard_1	wh2_main_rogue_tor_elithis
wh2_main_hef_inf_phoenix_guard	wh2_main_hef
wh2_main_hef_inf_spearmen_0	wh2_main_hef
wh2_main_hef_inf_spearmen_0	wh2_main_rogue_tor_elithis
wh2_main_hef_inf_spearmen_0	wh2_main_rogue_vauls_expedition
wh2_main_hef_inf_swordmasters_of_hoeth_0	wh2_main_hef
wh2_main_hef_inf_white_lions_of_chrace_0	wh2_main_hef
wh2_main_hef_mon_great_eagle	wh2_main_hef
wh2_main_hef_mon_great_eagle	wh2_main_rogue_tor_elithis
wh2_main_hef_mon_moon_dragon	wh2_main_hef
wh2_main_hef_mon_phoenix_flamespyre	wh2_main_hef
wh2_main_hef_mon_phoenix_frostheart	wh2_main_hef
wh2_main_hef_mon_star_dragon	wh2_main_hef
wh2_main_hef_mon_sun_dragon	wh2_main_hef
wh2_main_lzd_cav_cold_one_spearmen_1	wh2_main_lzd
wh2_main_lzd_cav_cold_one_spearmen_1	wh2_main_rogue_celestial_storm
wh2_main_lzd_cav_cold_ones_1	wh2_main_lzd
wh2_main_lzd_cav_cold_ones_1	wh2_main_rogue_celestial_storm
wh2_main_lzd_cav_horned_ones_0	wh2_main_lzd
wh2_main_lzd_cav_terradon_riders_0	wh2_main_lzd
wh2_main_lzd_cav_terradon_riders_1	wh2_main_lzd
wh2_main_lzd_cha_saurus_old_blood_0	wh2_main_rogue_celestial_storm
wh2_main_lzd_cha_saurus_old_blood_1	wh2_main_rogue_celestial_storm
wh2_main_lzd_cha_saurus_old_blood_2	wh2_main_rogue_celestial_storm
wh2_main_lzd_cha_saurus_scar_veteran_0	wh2_main_lzd
wh2_main_lzd_cha_saurus_scar_veteran_1	wh2_main_lzd
wh2_main_lzd_cha_saurus_scar_veteran_2	wh2_main_lzd
wh2_main_lzd_cha_skink_chief_0	wh2_main_lzd
wh2_main_lzd_cha_skink_priest_beasts_0	wh2_main_lzd
wh2_main_lzd_cha_slann_mage_priest_high_0	wh2_main_lzd
wh2_main_lzd_inf_chameleon_skinks_0	wh2_main_lzd
wh2_main_lzd_inf_saurus_spearmen_0	wh2_main_lzd
wh2_main_lzd_inf_saurus_spearmen_1	wh2_main_lzd
wh2_main_lzd_inf_saurus_spearmen_1	wh2_main_rogue_celestial_storm
wh2_main_lzd_inf_saurus_warriors_0	wh2_main_lzd
wh2_main_lzd_inf_saurus_warriors_1	wh2_main_lzd
wh2_main_lzd_inf_saurus_warriors_1	wh2_main_rogue_celestial_storm
wh2_main_lzd_inf_skink_cohort_0	wh2_main_lzd
wh2_main_lzd_inf_skink_cohort_1	wh2_main_lzd
wh2_main_lzd_inf_skink_skirmishers_0	wh2_main_lzd
wh2_main_lzd_inf_temple_guards	wh2_main_lzd
wh2_main_lzd_mon_ancient_stegadon	wh2_main_lzd
wh2_main_lzd_mon_bastiladon_0	wh2_main_lzd
wh2_main_lzd_mon_bastiladon_0	wh2_main_rogue_black_spider_tribe
wh2_main_lzd_mon_bastiladon_1	wh2_main_lzd
wh2_main_lzd_mon_bastiladon_2	wh2_main_lzd
wh2_main_lzd_mon_carnosaur_0	wh2_main_lzd
wh2_main_lzd_mon_carnosaur_0	wh2_main_rogue_beastcatchas
wh2_main_lzd_mon_kroxigors	wh2_main_lzd
wh2_main_lzd_mon_kroxigors	wh2_main_rogue_celestial_storm
wh2_main_lzd_mon_stegadon_0	wh2_main_lzd
wh2_main_lzd_mon_stegadon_1	wh2_main_lzd
wh2_main_skv_art_plagueclaw_catapult	wh2_main_skv
wh2_main_skv_art_warp_lightning_cannon	wh2_main_skv
wh2_main_skv_cha_assassin	wh2_main_skv
wh2_main_skv_cha_grey_seer_plague_0	wh2_main_skv
wh2_main_skv_cha_grey_seer_plague_1	wh2_main_skv
wh2_main_skv_cha_lord_skrolk	wh2_main_skv
wh2_main_skv_cha_plague_priest_0	wh2_main_skv
wh2_main_skv_cha_plague_priest_2	wh2_main_skv
wh2_main_skv_cha_queek_headtaker	wh2_main_skv
wh2_main_skv_cha_warlock_engineer	wh2_main_skv
wh2_main_skv_cha_warlord_0	wh2_main_rogue_morrsliebs_howlers
wh2_main_skv_cha_warlord_0	wh2_main_skv
wh2_main_skv_cha_warlord_1	wh2_main_rogue_morrsliebs_howlers
wh2_main_skv_cha_warlord_1	wh2_main_skv
wh2_main_skv_inf_clanrat_spearmen_0	wh2_main_skv
wh2_main_skv_inf_clanrat_spearmen_1	wh2_main_skv
wh2_main_skv_inf_clanrats_0	wh2_main_skv
wh2_main_skv_inf_clanrats_1	wh2_main_skv
wh2_main_skv_inf_death_globe_bombardiers	wh2_main_skv
wh2_main_skv_inf_death_runners_0	wh2_main_rogue_stuff_snatchers
wh2_main_skv_inf_death_runners_0	wh2_main_skv
wh2_main_skv_inf_gutter_runner_slingers_0	wh2_main_skv
wh2_main_skv_inf_gutter_runner_slingers_1	wh2_main_rogue_stuff_snatchers
wh2_main_skv_inf_gutter_runner_slingers_1	wh2_main_skv
wh2_main_skv_inf_gutter_runners_0	wh2_main_skv
wh2_main_skv_inf_gutter_runners_1	wh2_main_rogue_stuff_snatchers
wh2_main_skv_inf_gutter_runners_1	wh2_main_skv
wh2_main_skv_inf_night_runners_0	wh2_main_skv
wh2_main_skv_inf_night_runners_1	wh2_main_skv
wh2_main_skv_inf_plague_monk_censer_bearer	wh2_main_rogue_morrsliebs_howlers
wh2_main_skv_inf_plague_monk_censer_bearer	wh2_main_skv
wh2_main_skv_inf_plague_monks	wh2_main_skv
wh2_main_skv_inf_poison_wind_globadiers	wh2_main_rogue_morrsliebs_howlers
wh2_main_skv_inf_poison_wind_globadiers	wh2_main_skv
wh2_main_skv_inf_skavenslave_slingers_0	wh2_main_skv
wh2_main_skv_inf_skavenslave_spearmen_0	wh2_main_skv
wh2_main_skv_inf_skavenslaves_0	wh2_main_skv
wh2_main_skv_inf_stormvermin_0	wh2_main_skv
wh2_main_skv_inf_stormvermin_1	wh2_main_skv
wh2_main_skv_inf_warpfire_thrower	wh2_main_skv
wh2_main_skv_mon_hell_pit_abomination	wh2_main_rogue_abominations
wh2_main_skv_mon_hell_pit_abomination	wh2_main_skv
wh2_main_skv_mon_rat_ogres	wh2_main_rogue_abominations
wh2_main_skv_mon_rat_ogres	wh2_main_skv
wh2_main_skv_veh_doomwheel	wh2_main_rogue_morrsliebs_howlers
wh2_main_skv_veh_doomwheel	wh2_main_skv
wh_dlc01_chs_cav_gorebeast_chariot	wh2_main_rogue_hung_warband
wh_dlc01_chs_cav_gorebeast_chariot	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_lord_10	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_lord_2	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_2	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4	wh_main_group_chaos
wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	wh_main_group_chaos
