melee_weapons_tables
21
bonus_v_cavalry	bonus_v_large	bonus_v_infantry	key	damage	ap_damage	first_strike	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval
0	0	0	chs_chaos_dragon	350	350	0	4	axe	claw	very_large	15	1.9	600	15	False		0	3	3
0	0	0	vmp_zombie_dragon	250	300	0	3	axe	claw	large	10	1.65	600	0	False	wh_main_unit_contact_poison_lethal	0	3	3
0	0	20	wh_dlc01_chs_chariot_gorebeast	35	45	0	3	axe	claw	large	6	1.2	75	0	False		3	2	3
0	0	0	wh_dlc01_chs_dragon	310	330	0	3	axe	claw	very_large	18	1.9	750	5	False	wh_main_unit_contact_searing_fire	0	3	2.5
0	0	0	wh_dlc01_chs_dragon_caster	290	300	0	3	axe	claw	very_large	16	1.78	600	5	True	wh_main_unit_contact_searing_fire	0	3	2.5
0	0	0	wh_dlc01_chs_dragon_caster	290	300	0	3	axe	claw	very_large	16	1.78	600	5	True	wh_main_unit_contact_searing_fire	0	3	2.5
0	0	0	wh_dlc01_chs_dragon_caster	290	300	0	3	axe	claw	very_large	16	1.78	600	5	True	wh_main_unit_contact_searing_fire	0	3	2.5
0	0	0	wh_dlc01_chs_dragon_caster	290	300	0	3	axe	claw	very_large	16	1.78	600	5	True	wh_main_unit_contact_searing_fire	0	3	2.5
0	100	0	wh_dlc01_chs_dragon_ogre_shaggoth	200	300	0	2	axe	axe_large	very_large	16	1.7	525	0	False		0	3	3
0	0	0	wh_dlc01_chs_kholek	150	450	0	4	axe	hammer	very_large	14	1.6	600	0	False		0	8	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_caster_lord	315	185	0	3	axe	claw	large	10	1.6	250	0	True	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_exalted_hero	300	175	0	3	axe	claw	large	8	1.4	250	0	False	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_manticore_lord	300	225	0	3	axe	claw	large	10	1.5	350	0	False	wh_main_unit_contact_poison	0	3	2.5
0	0	0	wh_dlc01_chs_prince_sigvald	250	210	0	1	sword	sword	small	4	1	40	0	False		0	10	2.5
0	0	26	wh_dlc03_bst_chariot_general_hero	130	240	0	3	axe	claw	very_large	12	1.2	100	0	False		3	2	2.5
0	0	20	wh_dlc03_bst_chariot_hero	125	200	0	3	axe	claw	very_large	12	1.2	150	0	False		3	2	2.5
0	0	20	wh_dlc03_bst_chariot_hero	125	200	0	3	axe	claw	very_large	12	1.2	150	0	False		3	2	2.5
0	0	20	wh_dlc03_bst_chariot_hero	125	200	0	3	axe	claw	very_large	12	1.2	150	0	False		3	2	2.5
0	0	20	wh_dlc03_bst_chariot_hero	125	200	0	3	axe	claw	very_large	12	1.2	150	0	False		3	2	2.5
0	0	26	wh_dlc03_bst_chariot_khazrak	125	250	0	3	axe	claw	very_large	12	1.2	100	0	False	wh_main_unit_contact_poison_lethal	3	2	2.5
0	0	0	wh_dlc03_bst_cygor	175	300	0	3	axe	club_huge	large	10	1.5	650	0	True		0	10	3
0	0	0	wh_dlc03_bst_cygor	175	300	0	3	axe	club_huge	large	10	1.5	650	0	True		0	10	3
0	38	0	wh_dlc03_bst_gor_axe_gorebull	160	270	0	2	sword	sword	large	10	1.25	175	0	False		0	10	2.5
0	0	0	wh_dlc03_bst_gor_axe_hero	275	175	0	1	sword	axe	medium	6	1	60	0	False		0	10	2.5
0	0	0	wh_dlc03_bst_gor_axe_hero	275	175	0	1	sword	axe	medium	6	1	60	0	False		0	10	2.5
0	0	0	wh_dlc03_bst_gor_axe_hero	275	175	0	1	sword	axe	medium	6	1	60	0	False		0	10	2.5
0	0	0	wh_dlc03_bst_gor_axe_hero_khazrak	250	200	0	1	sword	sword	medium	8	1.1	65	0	False	wh_main_unit_contact_poison_lethal	0	10	2.5
0	0	0	wh_dlc03_bst_manticore	300	200	0	3	axe	claw	large	10	1.5	350	5	False	wh_main_unit_contact_poison	0	3	3
0	0	0	wh_dlc03_bst_manticore	300	200	0	3	axe	claw	large	10	1.5	350	5	False	wh_main_unit_contact_poison	0	3	3
0	0	0	wh_dlc03_bst_manticore	300	200	0	3	axe	claw	large	10	1.5	350	5	False	wh_main_unit_contact_poison	0	3	3
0	0	0	wh_dlc03_bst_staff_bray_shaman	240	75	0	1	sword	staff	large	8	1.1	50	0	True		0	6	2.5
0	0	0	wh_dlc03_bst_staff_bray_shaman	240	75	0	1	sword	staff	large	8	1.1	50	0	True		0	6	2.5
0	0	0	wh_dlc03_bst_staff_bray_shaman	240	75	0	1	sword	staff	large	8	1.1	50	0	True		0	6	2.5
0	0	0	wh_dlc03_bst_staff_bray_shaman_beasts	250	100	0	1	sword	staff	medium	5	1.1	40	0	True		0	6	2.5
